Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations,Article URL
Developmental Science,7, 1,2004,The impact of child maltreatment on expressive syntax at 60 months,"Inge-Marie Eigsti, Dante Cicchetti","Department of Clinical and Social Sciences in Psychology, University of Rochester, USA; Mount Hope Family Center and Department of Clinical and Social Sciences in Psychology, University of Rochester, USA",88-102,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00325.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00325.x,112,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00325.x
Developmental Science,7, 1,2004,"A longitudinal, microgenetic study of the emergence of false belief understanding and inhibition skills","Emma Flynn, Claire O'Malley, David Wood","School of Psychology, University of St Andrews, UK; School of Psychology, University of Nottingham, UK; School of Psychology, University of Nottingham, UK",103-115,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00326.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00326.x,181,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00326.x
Developmental Science,7, 1,2004,Visual search in typically developing toddlers and toddlers with Fragile X or Williams syndrome,"Gaia Scerif, Kim Cornish, John Wilding, Jon Driver, Annette Karmiloff-Smith","Neurocognitive Development Unit, Institute of Child Health, University College London, UK; School of Psychology, University of Nottingham, UK; Department of Child and Adolescent Psychiatry, University of Nottingham, UK; Department of Psychology, Royal Holloway, University of London, UK; Institute of Cognitive Neuroscience, University College London, UK; Neurocognitive Development Unit, Institute of Child Health, University College London, UK",116-130,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00327.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00327.x,136,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00327.x
Developmental Science,7, 2,2004,Elizabeth Bates: a scientific obituary,"Frederick Dick, Jeff Elman, Joan Stiles","University of California, San Diego; University of California, San Diego; University of California, San Diego",iii-iv,Elizabeth Bates: a scientific obituary,https://doi.org/10.1111/j.1467-7687.2004.00328.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00328.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00328.x
Developmental Science,7, 2,2004,Beyond backprop: emerging trends in connectionist models of development: an introduction,"Matthew Schlesinger, Domenico Parisi","Department of Psychology, Southern Illinois University Carbondale, USA; National Research Council, Rome, Italy",131-132,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00329.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00329.x,8,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00329.x
Developmental Science,7, 2,2004,Autoassociator networks: insights into infant cognition,Sylvain Sirois,"Department of Psychology, University of Manchester, UK",133-140,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00330.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00330.x,8,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00330.x
Developmental Science,7, 2,2004,Hebbian learning and development,"Yuko Munakata, Jason Pfaffly","Department of Psychology, University of Colorado Boulder, USA; Department of Psychology, University of Colorado Boulder, USA",141-148,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00331.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00331.x,88,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00331.x
Developmental Science,7, 2,N/A,Modeling developmental transitions in adaptive resonance theory,"Maartje E.J. Raijmakers, Peter C.M. Molenaar",N/A,149-157,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00332.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00332.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00332.x
Developmental Science,7, 2,2004,Evolving agents as a metaphor for the developing child,Matthew Schlesinger,"Department of Psychology, Southern Illinois University Carbondale, USA",158-164,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00333.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00333.x,33,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00333.x
Developmental Science,7, 2,2004,Commentary: new kids on the connectionist modeling block,David Klahr,"Department of Psychology, Carnegie Mellon University, USA",165-166,SPECIAL SECTION,https://doi.org/10.1111/j.1467-7687.2004.00334.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00334.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00334.x
Developmental Science,7, 2,2004,‘Core Knowledges’: a dissociation between spatiotemporal knowledge and contact-mechanics in a non-human primate?,Laurie R. Santos,"Department of Psychology, Harvard University, USA",167-174,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00335.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00335.x,40,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00335.x
Developmental Science,7, 2,2004,Perception of serial order in infants,David J. Lewkowicz,"Department of Psychology, Florida Atlantic University, USA",175-184,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00336.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00336.x,61,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00336.x
Developmental Science,7, 2,2004,A test of the generality of perceptually based categories found in infants: attentional differences toward natural kinds by New World monkeys,"Julie J. Neiworth, Richard R. Parsons, Janice M. Hassett","Department of Psychology, Carleton College, USA; Department of Psychology, Carleton College, USA; Department of Psychology, Carleton College, USA",185-193,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00337.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00337.x,2,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00337.x
Developmental Science,7, 2,N/A,The dynamics of infant visual foraging,"Steven S. Robertson, John Guckenheimer, Amy M. Masnick, Leigh F. Bacher",N/A,194-200,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00338.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00338.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00338.x
Developmental Science,7, 2,2004,Origins of a stereotype: categorization of facial attractiveness by 6-month-old infants,"Jennifer L. Ramsey, Judith H. Langlois, Rebecca A. Hoss, Adam J. Rubenstein, Angela M. Griffin","Department of Psychology, The University of Texas at Austin, USA; Now at Department of Psychology, University of Nevada Las Vegas, USA; Department of Psychology, The University of Texas at Austin, USA; Department of Psychology, The University of Texas at Austin, USA; Now at College of Saint Mary, USA; Department of Psychology, The University of Texas at Austin, USA; Now at Department of Psychology, College of William and Mary, USA; Department of Psychology, The University of Texas at Austin, USA",201-211,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00339.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00339.x,66,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00339.x
Developmental Science,7, 2,2004,The language-specific nature of grammatical development: evidence from bilingual language learners,"Virginia A. Marchman, Carmen Martínez-Sussmann, Philip S. Dale","School of Behavioral and Brain Sciences, The University of Texas at Dallas, USA; American Institutes for Research, Palo Alto, USA; Department of Communication Sciences and Disorders, University of Missouri-Columbia, USA",212-224,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00340.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00340.x,177,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00340.x
Developmental Science,7, 2,2004,Changes in reality monitoring and episodic memory in early childhood,"Julia Sluzenski, Nora Newcombe, Wendy Ottinger","Department of Psychology, Temple University, USA; Department of Psychology, Temple University, USA; Department of Psychology, Temple University, USA",225-245,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00341.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00341.x,52,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00341.x
Developmental Science,7, 2,2004,Face inversion and contrast-reversal effects across development: in contrast to the expertise theory,"Roxane J. Itier, Margot J. Taylor","The Rotman Research Institute, Baycrest Centre, Toronto, Canada; CerCo-CNRS – UMR 5549, Université Paul Sabatier, Toulouse, France",246-260,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00342.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00342.x,42,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00342.x
Developmental Science,7, 3,2004,Is visual reference necessary? Contributions of facial versus vocal cues in 12-month-olds’ social referencing behavior,"Amrisha Vaish, Tricia Striano","Department of Cultural Ontogeny, Max Planck Institute for Evolutionary Anthropology, Germany; Department of Cultural Ontogeny, Max Planck Institute for Evolutionary Anthropology, Germany",261-269,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00344.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00344.x,102,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00344.x
Developmental Science,7, 3,2004,Tuned to the signal: the privileged status of speech for young infants,"Athena Vouloumanos, Janet F. Werker","Department of Psychology, University of British Columbia, Canada; Department of Psychology, University of British Columbia, Canada",270-276,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00345.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00345.x,164,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00345.x
Developmental Science,7, 3,N/A,Young children who abandon error behaviourally still have to free themselves mentally: a retrospective test for inhibition in intuitive physics,"Norman H. Freeman, Bruce M. Hood, Caroline Meehan",N/A,277-282,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00346.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00346.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00346.x
Developmental Science,7, 3,2004,Infant social attention predicts preschool social cognition,"Henry M. Wellman, Ann T. Phillips, Sarah Dunphy-Lelii, Nicole LaLonde","Center for Human Growth and Development, and Department of Psychology, University of Michigan, USA; Mt. Sania Hospital, New York, USA; Department of Psychology, University of Michigan, USA; Department of Psychology, University of Michigan, USA",283-288,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00347.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00347.x,98,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00347.x
Developmental Science,7, 3,2004,Long-term memory for music: infants remember tempo and timbre,"Laurel J. Trainor, Luann Wu, Christine D. Tsang","Department of Psychology, McMaster University, Hamilton, Canada; Department of Psychology, McMaster University, Hamilton, Canada; Department of Psychology, McMaster University, Hamilton, Canada",289-296,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00348.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00348.x,74,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00348.x
Developmental Science,7, 3,2004,Twelve-month-olds point to share attention and interest,"Ulf Liszkowski, Malinda Carpenter, Anne Henning, Tricia Striano, Michael Tomasello","Department of Developmental and Comparative Psychology, Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany; Department of Developmental and Comparative Psychology, Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany; Junior Scientists Group on Cultural Ontogeny, Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany; Junior Scientists Group on Cultural Ontogeny, Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany; Department of Developmental and Comparative Psychology, Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany",297-307,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00349.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00349.x,313,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00349.x
Developmental Science,7, 3,2004,Culture and children's cosmology,"Michael Siegal, George Butterworth, Peter A. Newcombe","Department of Psychology, University of Sheffield, UK; School of Cognitive and Computing Sciences, University of Sussex, UK; School of Social Work and Applied Human Sciences, University of Queensland, Australia",308-324,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00350.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00350.x,83,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00350.x
Developmental Science,7, 3,2004,Attention and inhibition in bilingual children: evidence from the dimensional change card sort task,"Ellen Bialystok, Michelle M. Martin","Department of Psychology, York University, Toronto, Canada; Department of Psychology, York University, Toronto, Canada",325-339,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00351.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00351.x,530,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00351.x
Developmental Science,7, 3,2004,Young children with autism show atypical brain responses to fearful versus neutral facial expressions of emotion,"Geraldine Dawson, Sara J. Webb, Leslie Carver, Heracles Panagiotides, James McPartland","Department of Psychology, University of Washington, USA; Center on Human Development and Disability, University of Washington, USA; Center on Human Development and Disability, University of Washington, USA; Department of Psychology, University of California, San Diego, USA; Center on Human Development and Disability, University of Washington, USA; Department of Psychology, University of Washington, USA; Center on Human Development and Disability, University of Washington, USA",340-359,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00352.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00352.x,211,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00352.x
Developmental Science,7, 3,2004,The development of complex sentence interpretation in typically developing children compared with children with specific language impairments or early unilateral focal lesions,"Frederic Dick, Beverly Wulfeck, Magda Krupa-Kwiatkowski, Elizabeth Bates","Center for Research in Language, University of California San Diego, USA; Department of Psychology, Birkbeck College, University of London, UK; Center for Research in Language, University of California San Diego, USA; School of Speech, Language, and Hearing Sciences, San Diego State University, USA; Center for Research in Language, University of California San Diego, USA; Center for Research in Language, University of California San Diego, USA; Department of Cognitive Science, University of California, USA",360-377,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00353.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00353.x,62,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00353.x
Developmental Science,7, 3,2004,Perceptual complexity and form class cues in novel word extension tasks: how 4-year-old children interpret adjectives and count nouns,"Catherine M. Sandhofer, Linda B. Smith","Department of Psychology, University of California, Los Angeles, USA; Department of Psychology, Indiana University, USA",378-388,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00354.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00354.x,13,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00354.x
Developmental Science,7, 3,2004,Corrigendum,,N/A,389,Corrigendum,https://doi.org/10.1111/j.1467-7687.2004.00355.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00355.x,N/A,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00355.x
Developmental Science,7, 4,2004,Immature cortical responses to auditory stimuli in specific language impairment: evidence from ERPs to rapid tone sequences,"D.V.M. Bishop, G.M. McArthur","Department of Experimental Psychology, University of Oxford, UK; Department of Experimental Psychology, University of Oxford, UK",F11-F18,FAST-TRACK REPORT,https://doi.org/10.1111/j.1467-7687.2004.00356.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00356.x,85,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00356.x
Developmental Science,7, 4,2004,Infants’ reasoning about hidden objects: evidence for event-general and event-specific expectations,Renée Baillargeon,"Department of Psychology, University of Illinois, USA",391-414,ARTICLE WITH PEER COMMENTARIES AND RESPONSEArticle,https://doi.org/10.1111/j.1467-7687.2004.00357.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00357.x,85,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00357.x
Developmental Science,7, 4,2004,Is looking good enough or does it beggar belief?,Bruce M. Hood,"Bristol Cognitive Development Centre, University of Bristol, UK",415-417,Commentaries,https://doi.org/10.1111/j.1467-7687.2004.00358.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00358.x,17,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00358.x
Developmental Science,7, 4,2004,Who's for learning?,Alan M. Leslie,"Department of Psychology and Center for Cognitive Science, Rutgers University, USA",417-419,Commentaries,https://doi.org/10.1111/j.1467-7687.2004.00359.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00359.x,9,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00359.x
Developmental Science,7, 4,2004,Reasoning . . . what reasoning?,"Andrew J. Bremner, Denis Mareschal","Centre for Brain and Cognitive Development, Birkbeck, University of London, UK; Cognitive Science Research Unit, Université Libre de Bruxelles, Belgium; Centre for Brain and Cognitive Development, Birkbeck, University of London, UK",419-421,Commentaries,https://doi.org/10.1111/j.1467-7687.2004.00360.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00360.x,13,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00360.x
Developmental Science,7, 4,2004,Can 12 large clowns fit in a Mini Cooper? Or when are beliefs and reasoning explicit and conscious?,Renée Baillargeon,"Department of Psychology, University of Illinois, USA",422-424,Response,https://doi.org/10.1111/j.1467-7687.2004.00361.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00361.x,7,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00361.x
Developmental Science,7, 4,2004,Infants’ attribution of a goal to a morphologically unfamiliar agent,"Y. Alpha Shimizu, Susan C. Johnson","Department of Psychology, Stanford University, USA; Department of Psychology, Stanford University, USA",425-430,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00362.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00362.x,99,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00362.x
Developmental Science,7, 4,2004,The Thatcher illusion and face processing in infancy,"Evelin Bertin, Ramesh S. Bhatt","University of Kentucky, USA; University of Kentucky, USA",431-436,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00363.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00363.x,33,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00363.x
Developmental Science,7, 4,2004,Imitation in neonatal chimpanzees (Pan troglodytes),"Masako Myowa-Yamakoshi, Masaki Tomonaga, Masayuki Tanaka, Tetsuro Matsuzawa","School of Human Cultures, The University of Shiga Prefecture, Japan; Primate Research Institute, Kyoto University, Japan; Primate Research Institute, Kyoto University, Japan; Primate Research Institute, Kyoto University, Japan",437-442,REPORTS,https://doi.org/10.1111/j.1467-7687.2004.00364.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00364.x,117,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00364.x
Developmental Science,7, 4,2004,Switching between spatial stimulus–response mappings: a developmental study of cognitive flexibility,"Eveline A. Crone, K. Richard Ridderinkhof, Mijkje Worm, Riek J.M. Somsen, Maurits W. Van Der Molen","Department of Developmental Psychology, University of Amsterdam, The Netherlands; Department of Developmental Psychology, University of Amsterdam, The Netherlands; Department of Developmental Psychology, University of Amsterdam, The Netherlands; Department of Developmental Psychology, University of Amsterdam, The Netherlands; Department of Developmental Psychology, University of Amsterdam, The Netherlands",443-455,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00365.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00365.x,125,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00365.x
Developmental Science,7, 4,2004,A visit from the Candy Witch: factors influencing young children's belief in a novel fantastical being,"Jacqueline D. Woolley, Elizabeth A. Boerger, Arthur B. Markman","Department of Psychology, University of Texas, USA; Department of Psychology, University of Texas, USA; Department of Psychology, University of Texas, USA",456-468,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00366.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00366.x,97,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00366.x
Developmental Science,7, 4,2004,Effects of repetition and configural changes on the development of face recognition processes,"Roxane J. Itier, Margot J. Taylor","The Rotman Research Institute, BayCrest Centre, Toronto, Canada; CerCo-CNRS, Université Paul Sabatier, Toulouse, France",469-487,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00367.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00367.x,69,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00367.x
Developmental Science,7, 4,2004,‘Unwilling’ versus ‘unable’: chimpanzees’ understanding of human intentional action,"Josep Call, Brian Hare, Malinda Carpenter, Michael Tomasello","Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany; Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany; Department of Anthropology, Harvard University, USA; Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany; Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany",488-498,PAPERS,https://doi.org/10.1111/j.1467-7687.2004.00368.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00368.x,229,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00368.x
