Title,DOI,Publication Year,Authors,Article Type,Journal Title,Volume,Issue,Citation Count
Testing the counter model for perceptual identification: Effects of repetition priming and word frequency,https://doi.org/10.3758/BF03213004,2000,"['Wagenmakers, Eric-Jan M.', 'Zeelenberg, René', 'Raaijmakers, Jeroen G. W.']",Brief Reports,Psychonomic Bulletin & Review,7,4,36
Adults’ strategy choices for simple addition: Effects of retrieval interference,https://doi.org/10.3758/BF03213008,2000,"['Campbell, Jamie I. D.', 'Timm, Jennifer C.']",Brief Reports,Psychonomic Bulletin & Review,7,4,50
Depictions of motion devised by a blind person,https://doi.org/10.3758/BF03213009,2000,"['Kennedy, John M.', 'Merkas, Cynthia E.']",Brief Reports,Psychonomic Bulletin & Review,7,4,22
Dual processes in recognition: Does a focus on measurement operations provide a sufficient foundation?,https://doi.org/10.3758/BF03212997,2000,"['Humphreys, Michael S.', 'Dennis, Simon', 'Chalmers, Kerry A.', 'Finnigan, Simon']",Article,Psychonomic Bulletin & Review,7,4,16
Analogy with knowledgeable learners: When analogy confers benefits and exacts costs,https://doi.org/10.3758/BF03214368,2000,"['Donnelly, Carol M.', 'Mcdaniel, Mark A.']",Brief Reports,Psychonomic Bulletin & Review,7,3,12
The ties that bind what is known to the recall of what is new,https://doi.org/10.3758/BF03212998,2000,"['Nelson, Douglas L.', 'Zhang, Nan']",Article,Psychonomic Bulletin & Review,7,4,38
Notices and announcements,https://doi.org/10.3758/BF03213016,2000,[],Article,Psychonomic Bulletin & Review,7,4,N/A
A criterion-shift model for enhanced discriminability in perceptual identification: A note on the counter model,https://doi.org/10.3758/BF03213012,2000,"['Wagenmakers, Eric-Jan M.', 'Zeelenberg, René', 'Schooler, Lael J.', 'Raaijmakers, Jeroen G. W.']",Notes And Comment,Psychonomic Bulletin & Review,7,4,7
Properties of inductive reasoning,https://doi.org/10.3758/BF03212996,2000,"['Heit, Evan']",Article,Psychonomic Bulletin & Review,7,4,192
Repetition and form priming interact with neighborhood density at a brief stimulus onset asynchrony,https://doi.org/10.3758/BF03213005,2000,"['Perea, Manuel', 'Rosa, Eva']",Brief Reports,Psychonomic Bulletin & Review,7,4,64
Blocking and backward blocking involve learned inattention,https://doi.org/10.3758/BF03213001,2000,"['Kruschke, John K.', 'Blair, Nathaniel J.']",Brief Reports,Psychonomic Bulletin & Review,7,4,135
Attentional requirements for object-location priming,https://doi.org/10.3758/BF03213002,2000,"['Musen, Gail', 'Viola, Jeanna']",Brief Reports,Psychonomic Bulletin & Review,7,4,7
Estimating the frequency of nonevents: The role of recollection failure in false recognition,https://doi.org/10.3758/BF03213007,2000,"['Brown, Norman R.', 'Buchanan, Lori', 'Cabeza, Roberto']",Brief Reports,Psychonomic Bulletin & Review,7,4,13
Erratum to: Conceptual activation of distractors during selection is not sufficient to produce negative priming,https://doi.org/10.3758/BF03213015,2000,"['Dark, Veronica J.', 'Schmidt, Patricia A.']",Erratum,Psychonomic Bulletin & Review,7,4,N/A
Semantic priming without association: A meta-analytic review,https://doi.org/10.3758/BF03212999,2000,"['Lucas, Margery']",Article,Psychonomic Bulletin & Review,7,4,290
Demonstration of a socially transmitted flavor aversion in rats? Kuan and Colwill (1997) revisited,https://doi.org/10.3758/BF03213000,2000,"['Galef, Bennett G.', 'Whiskin, Elaine E.']",Brief Reports,Psychonomic Bulletin & Review,7,4,12
Mental rotation is suppressed during saccadic eye movements,https://doi.org/10.3758/BF03213003,2000,"['Irwin, David E.', 'Brockmole, James R.']",Brief Reports,Psychonomic Bulletin & Review,7,4,25
Stroop effect in words that differ from color words in one letter only,https://doi.org/10.3758/BF03213006,2000,"['Bibi, Uri', 'Tzelgov, Joseph', 'Henik, Avishai']",Brief Reports,Psychonomic Bulletin & Review,7,4,10
Immunity to functional fixedness in young children,https://doi.org/10.3758/BF03213010,2000,"['German, Tim P.', 'Defeyter, Margaret Anne']",Brief Reports,Psychonomic Bulletin & Review,7,4,119
Modeling the effects of repetition and word frequency in perceptual identification,https://doi.org/10.3758/BF03213011,2000,"['Ratcliff, Roger', 'Mckoon, Gail']",Notes And Comment,Psychonomic Bulletin & Review,7,4,12
The role of attentional breadth in perceptual change detection,https://doi.org/10.3758/BF03196143,2001,"['Pringle, Heather L.', 'Irwin, David E.', 'Kramer, Arthur F.', 'Atchley, Paul']",Brief Reports,Psychonomic Bulletin & Review,8,1,77
The effects of concurrent task interference on category learning: Evidence for multiple category learning systems,https://doi.org/10.3758/BF03196154,2001,"['Waldron, Elliott M.', 'Ashby, F. Gregory']",Brief Reports,Psychonomic Bulletin & Review,8,1,206
The role of involuntary aware memory in the implicit stem and fragment completion tasks: A selective review,https://doi.org/10.3758/BF03196139,2001,"['Kinoshita, Sachiko']",Article,Psychonomic Bulletin & Review,8,1,47
Shared neighborhood effects in masked orthographic priming,https://doi.org/10.3758/BF03196144,2001,"['Van Heuven, Walter J. B.', 'Dijkstra, Ton', 'Grainger, Jonathan', 'Schriefers, Herbert']",Brief Reports,Psychonomic Bulletin & Review,8,1,69
The case for sensorimotor coding in working memory,https://doi.org/10.3758/BF03196138,2001,"['Wilson, Margaret']",Article,Psychonomic Bulletin & Review,8,1,136
“If I had said it I would have remembered it: Reducing false memories with a distinctiveness heuristic,https://doi.org/10.3758/BF03196152,2001,"['Dodson, Chad S.', 'Schacter, Daniel L.']",Brief Reports,Psychonomic Bulletin & Review,8,1,212
Illusory words created by repetition blindness: A technique for probing sublexical representations,https://doi.org/10.3758/BF03196147,2001,"['Harris, Catherine L.', 'Morris, Alison L.']",Brief Reports,Psychonomic Bulletin & Review,8,1,18
Scale invariance in the retrieval of retrospective and prospective memories,https://doi.org/10.3758/BF03196153,2001,"['Maylor, Elizabeth A.', 'Chater, Nick', 'Brown, Gordon D. A.']",Brief Reports,Psychonomic Bulletin & Review,8,1,51
Multiple bottlenecks in information processing? An electrophysiological examination,https://doi.org/10.3758/BF03196142,2001,"['Sommer, Werner', 'Leuthold, Hartmut', 'Schubert, Torsten']",Brief Reports,Psychonomic Bulletin & Review,8,1,51
An optimal period for setting sustained variability levels,https://doi.org/10.3758/BF03196155,2001,"['Stokes, Patricia D.', 'Balsam, Peter']",Brief Reports,Psychonomic Bulletin & Review,8,1,15
Bayes factor of model selection validates FLMP,https://doi.org/10.3758/BF03196136,2001,"['Massaro, Dominic W.', 'Cohen, Michael M.', 'Campbell, Christopher S.', 'Rodriguez, Tony']",Article,Psychonomic Bulletin & Review,8,1,27
Probing memory with conceptual cues at multiple retention intervals: A comparison of forgetting rates on implicit and explicit tests,https://doi.org/10.3758/BF03196150,2001,"['GosheN-Gottstein, Yonatan', 'Kempinsky, Hadar']",Brief Reports,Psychonomic Bulletin & Review,8,1,18
Priming complex words: Evidence for supralexical representation of morphology,https://doi.org/10.3758/BF03196148,2001,"['Giraudo, Hélène', 'Grainger, Jonathan']",Brief Reports,Psychonomic Bulletin & Review,8,1,155
A global factor in the Hermann grid illusion or an artifact?,https://doi.org/10.3758/BF03196140,2001,"['Chaderjian, Marc', 'Price, John M.', 'Parks, Theodore E.']",Brief Reports,Psychonomic Bulletin & Review,8,1,N/A
Processing bottlenecks in dual-task performance: Structural limitation or strategic postponement?,https://doi.org/10.3758/BF03196141,2001,"['Ruthruff, Eric', 'Pashler, Harold E.', 'Klaassen, Alwin']",Brief Reports,Psychonomic Bulletin & Review,8,1,141
Orthographically mediated inhibition effects: Evidence of activational feedback during visual word recognition,https://doi.org/10.3758/BF03196145,2001,"['Reimer, Jason F.', 'Brown, Joseph S.', 'Lorsbach, Thomas C.']",Brief Reports,Psychonomic Bulletin & Review,8,1,6
Writing and overwriting short-term memory,https://doi.org/10.3758/BF03196137,2001,"['Killeen, Peter R.']",Article,Psychonomic Bulletin & Review,8,1,34
Transfer across modality in perceptual implicit memory,https://doi.org/10.3758/BF03196151,2001,"['Blum, Diana', 'Yonelinas, Andrew P.']",Brief Reports,Psychonomic Bulletin & Review,8,1,29
Limitations on the use of verb information during sentence comprehension,https://doi.org/10.3758/BF03196149,2001,"['Kennison, Shelia M.']",Brief Reports,Psychonomic Bulletin & Review,8,1,43
Modulating semantic feedback in visual word recognition,https://doi.org/10.3758/BF03196146,2001,"['Smith, Marilyn Chapnik', 'Besner, Derek']",Brief Reports,Psychonomic Bulletin & Review,8,1,21
Representation of serial order in humans: A comparison to the findings with monkeys (Cebus apella),https://doi.org/10.3758/BF03196160,2001,"['Colombo, Michael', 'Frost, Nicole']",Brief Reports,Psychonomic Bulletin & Review,8,2,24
Why isp = .90 better thanp = .70? Preference for definitive predictions by lay consumers of probability judgments,https://doi.org/10.3758/BF03196156,2001,"['Keren, Gideon', 'Teigen, Karl Halvor']",Article,Psychonomic Bulletin & Review,8,2,31
Environmental context-dependent memory: A review and meta-analysis,https://doi.org/10.3758/BF03196157,2001,"['Smith, Steven M.', 'Vela, Edward']",Article,Psychonomic Bulletin & Review,8,2,561
Eliminating flanker effects and negative priming in the flankers task: Evidence for early selection,https://doi.org/10.3758/BF03196165,2001,"['Paquet, Lise']",Brief Reports,Psychonomic Bulletin & Review,8,2,25
The myth of ballistic processing: Evidence from Stroop’s paradigm,https://doi.org/10.3758/BF03196168,2001,"['Besner, Derek']",Brief Reports,Psychonomic Bulletin & Review,8,2,77
The presence of a nonresponding effector increases inhibition of return,https://doi.org/10.3758/BF03196166,2001,"['Ivanoff, Jason', 'Klein, Raymond M.']",Brief Reports,Psychonomic Bulletin & Review,8,2,72
The cocktail party phenomenon revisited: The importance of working memory capacity,https://doi.org/10.3758/BF03196169,2001,"['Conway, Andrew R. A.', 'Cowan, Nelson', 'Bunting, Michael F.']",Brief Reports,Psychonomic Bulletin & Review,8,2,567
Using magnitude estimation to investigate the perceptual components of signal detection theory,https://doi.org/10.3758/BF03196163,2001,"['Cohen, Dale J.', 'Lecci, Len']",Brief Reports,Psychonomic Bulletin & Review,8,2,4
Can orthographic rimes facilitate naming?,https://doi.org/10.3758/BF03196172,2001,"['Montant, Marie', 'Ziegler, Johannes C.']",Brief Reports,Psychonomic Bulletin & Review,8,2,11
Can sequence learning be implicit? New evidence with the process dissociation procedure,https://doi.org/10.3758/BF03196171,2001,"['Destrebecqz, Arnaud', 'Cleeremans, Axel']",Brief Reports,Psychonomic Bulletin & Review,8,2,383
Categorization of novel stimuli in well-known natural concepts: A case study,https://doi.org/10.3758/BF03196176,2001,"['Storms, Gert', 'de Boeck, Paul', 'Ruts, Wim']",Brief Reports,Psychonomic Bulletin & Review,8,2,22
Social contagion of memory,https://doi.org/10.3758/BF03196174,2001,"['Roediger, Henry L.', 'Meade, Michelle L.', 'Bergman, Erik T.']",Brief Reports,Psychonomic Bulletin & Review,8,2,273
The dual-task SRT procedure: Fine-tuning the timing,https://doi.org/10.3758/BF03196170,2001,"['Hsiao, Andrew T.', 'Reber, Arthur S.']",Brief Reports,Psychonomic Bulletin & Review,8,2,36
Activation and inhibition of stimulus features in conjunction search,https://doi.org/10.3758/BF03196164,2001,"['Koshino, Hideya']",Brief Reports,Psychonomic Bulletin & Review,8,2,16
Language differences in verbal short-term memory do not exclusively originate in the process of subvocal rehearsal,https://doi.org/10.3758/BF03196173,2001,"['Thorn, Annabel S. C.', 'Gathercole, Susan E.']",Brief Reports,Psychonomic Bulletin & Review,8,2,55
Stroop interference is affected in inhibition of return,https://doi.org/10.3758/BF03196167,2001,"['Vivas, Ana B.', 'Fuentes, Luis J.']",Brief Reports,Psychonomic Bulletin & Review,8,2,31
Counting models of temporal discrimination,https://doi.org/10.3758/BF03196161,2001,"['Rammsayer, Thomas', 'Ulrich, Rolf']",Brief Reports,Psychonomic Bulletin & Review,8,2,76
How the brain encodes the order of letters in a printed word: The SERIOL model and selective literature review,https://doi.org/10.3758/BF03196158,2001,"['Whitney, Carol']",Article,Psychonomic Bulletin & Review,8,2,460
Richer color experience in observers with multiple photopigment opsin genes,https://doi.org/10.3758/BF03196159,2001,"['Jameson, Kimberly A.', 'Highnote, Susan M.', 'Wasserman, Linda M.']",Article,Psychonomic Bulletin & Review,8,2,98
Stationary phantoms and grating induction with oblique inducing gratings: Implications for different mechanisms underlying the two phenomena,https://doi.org/10.3758/BF03196162,2001,"['Brown, James M.', 'Gyoba, Jiro', 'May, James G.']",Brief Reports,Psychonomic Bulletin & Review,8,2,2
Goal coordination in narrative comprehension,https://doi.org/10.3758/BF03196175,2001,"['Magliano, Joseph P.', 'Radvansky, Gabriel A.']",Brief Reports,Psychonomic Bulletin & Review,8,2,38
Orthographic and phonological computation in visual word recognition: Evidence from backward masking in Hebrew,https://doi.org/10.3758/BF03196188,2001,"['Frost, Ram', 'Yogev, Osnat']",Brief Reports,Psychonomic Bulletin & Review,8,3,14
Children’s use of phonology to infer grammatical class in vocabulary learning,https://doi.org/10.3758/BF03196187,2001,"['Wright Cassidy, Kimberly', 'Kelly, Michael H.']",Brief Reports,Psychonomic Bulletin & Review,8,3,26
Maintenance of semantic information in capacity-limited item short-term memory,https://doi.org/10.3758/BF03196193,2001,"['Haarmann, Henk', 'Usher, Marius']",Brief Reports,Psychonomic Bulletin & Review,8,3,89
Perception is a two-way junction: Feedback semantics in word recognition,https://doi.org/10.3758/BF03196190,2001,"['Pecher, Diane']",Brief Reports,Psychonomic Bulletin & Review,8,3,52
Characterizing semantic space: Neighborhood effects in word recognition,https://doi.org/10.3758/BF03196189,2001,"['Buchanan, Lori', 'Westbury, Chris', 'Burgess, Curt']",Brief Reports,Psychonomic Bulletin & Review,8,3,147
Clustering in artificial categories: An equivalence analysis,https://doi.org/10.3758/BF03196197,2001,"['Galizio, Mark', 'Stewart, Katherine L.', 'hPilgrim, Carol']",Brief Reports,Psychonomic Bulletin & Review,8,3,18
Perceptual automaticity in expert chess players: Parallel encoding of chess relations,https://doi.org/10.3758/BF03196185,2001,"['Reingold, Eyal M.', 'Charness, Neil', 'Schultetus, Richard S.', 'Stampe, Dave M.']",Brief Reports,Psychonomic Bulletin & Review,8,3,69
What counts as a decision? Predictors of perceived decision making,https://doi.org/10.3758/BF03196198,2001,"['Chapman, Gretchen B.', 'Niedermayer, Laura Y.']",Brief Reports,Psychonomic Bulletin & Review,8,3,10
Cued visual attention does not distinguish between occluded and occluding objects,https://doi.org/10.3758/BF03196184,2001,"['Haimson, Craig', 'Behrmann, Marlene']",Brief Reports,Psychonomic Bulletin & Review,8,3,16
Associative false recognition occurs without strategic criterion shifts,https://doi.org/10.3758/BF03196194,2001,"['Gallo, David A.', 'Roediger, Henry L.', 'McDermott, Kathleen B.']",Brief Reports,Psychonomic Bulletin & Review,8,3,163
The systematic discrepancy betweenA′ for overall recognition and remembering: A dual-process account,https://doi.org/10.3758/BF03196195,2001,"['Dobbins, Ian G.']",Brief Reports,Psychonomic Bulletin & Review,8,3,9
Judgment of conceptual identity in monkeys,https://doi.org/10.3758/BF03196181,2001,"['Bovet, Dalila', 'Vauclair, Jacques']",Brief Reports,Psychonomic Bulletin & Review,8,3,47
The effect of the physical characteristics of cues and targets on facilitation and inhibition,https://doi.org/10.3758/BF03196183,2001,"['Pratt, Jay', 'Hillis, Jamie', 'Gold, Jason M.']",Brief Reports,Psychonomic Bulletin & Review,8,3,57
"Usage of spatial scales for the categorization of faces, objects, and scenes",https://doi.org/10.3758/BF03196180,2001,"['Morrison, Donald J.', 'Schyns, Philippe G.']",Article,Psychonomic Bulletin & Review,8,3,172
The representation of “false cognates” in the bilingual lexicon,https://doi.org/10.3758/BF03196191,2001,"['Lalor, Erin', 'Kirsner, Kim']",Brief Reports,Psychonomic Bulletin & Review,8,3,25
Lexical activation during the recognition of Chinese characters: Evidence against early phonological activation,https://doi.org/10.3758/BF03196186,2001,"['Chen, Hsuan-Chih', 'Shu, Hua']",Brief Reports,Psychonomic Bulletin & Review,8,3,109
The variance theory of the mirror effect in recognition memory,https://doi.org/10.3758/BF03196178,2001,"['Sikström, Sverker']",Article,Psychonomic Bulletin & Review,8,3,11
The persistence of a misconception about vision after educational interventions,https://doi.org/10.3758/BF03196199,2001,"['Gregg, Virginia R.', 'Winer, Gerald A.', 'Cottrell, Jane E.', 'Hedman, Katherine E.', 'Fournier, Jody S.']",Brief Reports,Psychonomic Bulletin & Review,8,3,17
On the dominance of whole-word knowledge in reading aloud,https://doi.org/10.3758/BF03196192,2001,"['Visser, Troy A. W.', 'Besner, Derek']",Brief Reports,Psychonomic Bulletin & Review,8,3,22
A hybrid model of categorization,https://doi.org/10.3758/BF03196200,2001,"['Anderson, John R.', 'Betz, Jonathan']",Article,Psychonomic Bulletin & Review,8,4,85
On the dominance of whole-word knowledge in reading aloud,https://doi.org/10.3758/BF03196192,2001,"['Visser, Troy A. W.', 'Besner, Derek']",Brief Reports,Psychonomic Bulletin & Review,8,3,22
Preattentive guidance of eye movements during triple conjunction search tasks: The effects of feature discriminability and saccadic amplitude,https://doi.org/10.3758/BF03196182,2001,"['Williams, Diane E.', 'Reingold, Eyal M.']",Brief Reports,Psychonomic Bulletin & Review,8,3,77
Predictive versus diagnostic causal learning: Evidence from an overshadowing paradigm,https://doi.org/10.3758/BF03196196,2001,"['Waldmann, Michael R.']",Brief Reports,Psychonomic Bulletin & Review,8,3,88
Factors that determine false recall: A multiple regression analysis,https://doi.org/10.3758/BF03196177,2001,"['Roediger, Henry L.', 'Watson, Jason M.', 'McDermott, Kathleen B.', 'Gallo, David A.']",Article,Psychonomic Bulletin & Review,8,3,574
Evidence for a conceptual account of same-different discrimination learning in the pigeon,https://doi.org/10.3758/BF03196203,2001,"['Young, Michael E.', 'Wasserman, Edward A.']",Brief Reports,Psychonomic Bulletin & Review,8,4,28
