Title,Article URL,Authors,PDF Link,Article Type
The effort heuristic,https://www.sciencedirect.com/science/article/pii/S0022103103000659,"Justin Kruger, Derrick Wirtz, Leaf Van Boven, T.William Altermatt",https://www.sciencedirect.com/science/article/pii/S0022103103000659/pdfft?md5=932e5940cf59ebb58027759238251fdd&pid=1-s2.0-S0022103103000659-main.pdf,Research article
Cultural threat and perceived realistic group conflict as dual predictors of prejudice,https://www.sciencedirect.com/science/article/pii/S0022103103000672,"Michael A. Zárate, Berenice Garcia, Azenett A. Garza, Robert T. Hitlan",https://www.sciencedirect.com/science/article/pii/S0022103103000672/pdfft?md5=ea9531a94a0f74e9cf69c7b42972d5c0&pid=1-s2.0-S0022103103000672-main.pdf,Research article
Affect and automatic mood maintenance,https://www.sciencedirect.com/science/article/pii/S0022103103000866,"Ian M. Handley, G.Daniel Lassiter, Elizabeth F. Nickell, Lisa M. Herchenroeder",https://www.sciencedirect.com/science/article/pii/S0022103103000866/pdfft?md5=982461c7e0fff91a94b070c1012eb0a4&pid=1-s2.0-S0022103103000866-main.pdf,Research article
Social contagion of time perception,https://www.sciencedirect.com/science/article/pii/S0022103103000891,Lucian Gideon Conway III,https://www.sciencedirect.com/science/article/pii/S0022103103000891/pdfft?md5=4228893f28ae33228383f0a66b527a5d&pid=1-s2.0-S0022103103000891-main.pdf,Research article
The unexpected benefits of final deadlines in negotiation,https://www.sciencedirect.com/science/article/pii/S0022103103000908,Don A. Moore,https://www.sciencedirect.com/science/article/pii/S0022103103000908/pdfft?md5=9dfd708045b37b2af095dcfbcc0e3533&pid=1-s2.0-S0022103103000908-main.pdf,Research article
Biased processing of stereotype-incongruency is greater for low than high status groups,https://www.sciencedirect.com/science/article/pii/S0022103103000933,"Denise Sekaquaptewa, Penelope Espinoza",https://www.sciencedirect.com/science/article/pii/S0022103103000933/pdfft?md5=b3c3a82eb06ba0dc246c1089c66433e5&pid=1-s2.0-S0022103103000933-main.pdf,Research article
"Erratum to ‘Locomotion, assessment, and regulatory fit: Value transfer from “how” to “what”’ [Journal of Experimental Social Psychology 39 (2003) 525–530]",https://www.sciencedirect.com/science/article/pii/S0022103103001392,"Tamar Avnet, E.Tory Higgins",https://www.sciencedirect.com/science/article/pii/S0022103103001392/pdfft?md5=52b979881e7bd2bd9e3be2f3c3c78b10&pid=1-s2.0-S0022103103001392-main.pdf,Erratum
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103104000125,,https://www.sciencedirect.com/science/article/pii/S0022103104000125/pdfft?md5=0d0ad966de1c4f79c66dacb421098fe1&pid=1-s2.0-S0022103104000125-main.pdf,N/A
TOC,https://www.sciencedirect.com/science/article/pii/S0022103104000137,,https://www.sciencedirect.com/science/article/pii/S0022103104000137/pdfft?md5=9834687b3d5898c07ab57f6f939ffa04&pid=1-s2.0-S0022103104000137-main.pdf,N/A
Editorial,https://www.sciencedirect.com/science/article/pii/S0022103104000058,"Bernadette Park, Leandre R. Fabigar, Klaus Fiedler, Allen R. McConnell, ... Garold Stasser",https://www.sciencedirect.com/science/article/pii/S0022103104000058/pdfft?md5=e9e44f488d5d59fad34b9e8420766d3f&pid=1-s2.0-S0022103104000058-main.pdf,Editorial
Preparing for social psychology’s future,https://www.sciencedirect.com/science/article/pii/S002210310300180X,Shelley E. Taylor,https://www.sciencedirect.com/science/article/pii/S002210310300180X/pdfft?md5=8329873694062808ea3d8c403fea8d73&pid=1-s2.0-S002210310300180X-main.pdf,Editorial
Dynamic valuation: Preference changes in the context of face-to-face negotiation,https://www.sciencedirect.com/science/article/pii/S0022103104000022,"Jared R Curhan, Margaret A Neale, Lee Ross",https://www.sciencedirect.com/science/article/pii/S0022103104000022/pdfft?md5=9d757b171876faf2a4af0dc65289c861&pid=1-s2.0-S0022103104000022-main.pdf,Research article
Identity bifurcation in response to stereotype threat: Women and mathematics,https://www.sciencedirect.com/science/article/pii/S002210310300088X,"Emily Pronin, Claude M Steele, Lee Ross",https://www.sciencedirect.com/science/article/pii/S002210310300088X/pdfft?md5=7e8efd0ad45f708e7b4292073c1eb930&pid=1-s2.0-S002210310300088X-main.pdf,Research article
A social validation explanation for mutual enhancement,https://www.sciencedirect.com/science/article/pii/S002210310300091X,"Gwen M Wittenbaum, Jonathan M Bowman",https://www.sciencedirect.com/science/article/pii/S002210310300091X/pdfft?md5=28d186bf2ad1c1754a90019f9c2b4506&pid=1-s2.0-S002210310300091X-main.pdf,Research article
Time pressure and group performance: Exploring underlying processes in the Attentional Focus Model,https://www.sciencedirect.com/science/article/pii/S0022103103000945,"Janice R Kelly, Timothy J Loving",https://www.sciencedirect.com/science/article/pii/S0022103103000945/pdfft?md5=a516d2c49e6c9fc8069525439655d7d5&pid=1-s2.0-S0022103103000945-main.pdf,Research article
"What you expect is not always what you get: The roles of extremity, optimism, and pessimism in the behavioral confirmation process",https://www.sciencedirect.com/science/article/pii/S0022103103001252,Darcy A Reich,https://www.sciencedirect.com/science/article/pii/S0022103103001252/pdfft?md5=c4504e9c95a96978974a8efe88aebf37&pid=1-s2.0-S0022103103001252-main.pdf,Research article
P300 as an index of attention to self-relevant stimuli,https://www.sciencedirect.com/science/article/pii/S0022103103000921,"Heather M. Gray, Nalini Ambady, William T. Lowenthal, Patricia Deldin",https://www.sciencedirect.com/science/article/pii/S0022103103000921/pdfft?md5=2566554a74888c549e243bb570c21ffc&pid=1-s2.0-S0022103103000921-main.pdf,Research article
Implicit regulatory focus associated with asymmetrical frontal cortical activity,https://www.sciencedirect.com/science/article/pii/S0022103103001008,"David M Amodio, James Y Shah, Jonathan Sigelman, Paige C Brazy, Eddie Harmon-Jones",https://www.sciencedirect.com/science/article/pii/S0022103103001008/pdfft?md5=66c46add31adc36303f9fefde5b91a06&pid=1-s2.0-S0022103103001008-main.pdf,Research article
Category membership moderates the inhibition of social identities,https://www.sciencedirect.com/science/article/pii/S0022103103000969,"Kurt Hugenberg, Galen V Bodenhausen",https://www.sciencedirect.com/science/article/pii/S0022103103000969/pdfft?md5=93f1f896570e259bf7d0035c8bb71ea8&pid=1-s2.0-S0022103103000969-main.pdf,Research article
Graded structure and the speed of category verification: On the moderating effects of anticipatory control for social vs. non-social categories,https://www.sciencedirect.com/science/article/pii/S0022103103000982,"Kristina R Olson, Alan J Lambert, Jeffrey M Zacks",https://www.sciencedirect.com/science/article/pii/S0022103103000982/pdfft?md5=e57a8ccd7288d83d7ea7f659b1ce78d2&pid=1-s2.0-S0022103103000982-main.pdf,Research article
When saying and doing diverge: The effects of stereotype threat on self-reported versus non-verbal anxiety,https://www.sciencedirect.com/science/article/pii/S0022103103000994,"Jennifer K Bosson, Ethan L Haymovitz, Elizabeth C Pinel",https://www.sciencedirect.com/science/article/pii/S0022103103000994/pdfft?md5=1b9e705e36579a33e8911ebee5e4a223&pid=1-s2.0-S0022103103000994-main.pdf,Research article
"Women, sex, hostility, power, and suspicion: Sexually aggressive men’s cognitive associations",https://www.sciencedirect.com/science/article/pii/S0022103103000957,"Jill M Leibold, Allen R McConnell",https://www.sciencedirect.com/science/article/pii/S0022103103000957/pdfft?md5=6d9a8c4931fbab76c0304f981f48e09c&pid=1-s2.0-S0022103103000957-main.pdf,Research article
The return of dispositionalism: On the linguistic consequences of dispositional suppression,https://www.sciencedirect.com/science/article/pii/S0022103103000970,"Nicolas Geeraert, Vincent Y. Yzerbyt, Olivier Corneille, Daniël Wigboldus",https://www.sciencedirect.com/science/article/pii/S0022103103000970/pdfft?md5=8722db6523d55524794b0688e5d18296&pid=1-s2.0-S0022103103000970-main.pdf,Research article
Minority influence in work teams: The impact of newcomers,https://www.sciencedirect.com/science/article/pii/S002210310300101X,"Hoon-Seok Choi, John M Levine",https://www.sciencedirect.com/science/article/pii/S002210310300101X/pdfft?md5=21dc13d8f3fec945370e8006ac92281a&pid=1-s2.0-S002210310300101X-main.pdf,Research article
Acknowledgment,https://www.sciencedirect.com/science/article/pii/S0022103104000113,,https://www.sciencedirect.com/science/article/pii/S0022103104000113/pdfft?md5=7c069b408ddc1ad162a0dee5a879e9c6&pid=1-s2.0-S0022103104000113-main.pdf,N/A
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103104000320,,https://www.sciencedirect.com/science/article/pii/S0022103104000320/pdfft?md5=ba523ffce2b0bea734b67deaaca5ccd0&pid=1-s2.0-S0022103104000320-main.pdf,N/A
Table of contents,https://www.sciencedirect.com/science/article/pii/S0022103104000332,,https://www.sciencedirect.com/science/article/pii/S0022103104000332/pdfft?md5=5b0f91ba3a250e3bbd43566093609ac6&pid=1-s2.0-S0022103104000332-main.pdf,N/A
Shall I compare thee? Perceived entitativity and ease of comparison,https://www.sciencedirect.com/science/article/pii/S0022103103001215,"Cynthia L Pickett, David A Perrott",https://www.sciencedirect.com/science/article/pii/S0022103103001215/pdfft?md5=e4790898f9959389b454f39b57e520a8&pid=1-s2.0-S0022103103001215-main.pdf,Research article
Judgments of communicative intent in conversation,https://www.sciencedirect.com/science/article/pii/S0022103103001288,"Linda Albright, Alvin I Cohen, Thomas E Malloy, Theodore Christ, Gregg Bromgard",https://www.sciencedirect.com/science/article/pii/S0022103103001288/pdfft?md5=adee3cafc8f39d2d63a0cacfda1ff82d&pid=1-s2.0-S0022103103001288-main.pdf,Research article
"The influence of power on the information search, impression formation, and demands in negotiation",https://www.sciencedirect.com/science/article/pii/S0022103103001331,"Carsten K.W De Dreu, Gerben A Van Kleef",https://www.sciencedirect.com/science/article/pii/S0022103103001331/pdfft?md5=8bb5605eff37611c9eb84af3f841b491&pid=1-s2.0-S0022103103001331-main.pdf,Research article
Effects of group decision rules on decisions involving continuous alternatives: The unanimity rule and extreme decisions in mock civil juries,https://www.sciencedirect.com/science/article/pii/S0022103103001343,"Yohsuke Ohtsubo, Charles E. Miller, Nahoko Hayashi, Ayumi Masuchi",https://www.sciencedirect.com/science/article/pii/S0022103103001343/pdfft?md5=622f8b83a282fe489d96932f147cbd92&pid=1-s2.0-S0022103103001343-main.pdf,Research article
Egocentrism and focalism in unrealistic optimism (and pessimism),https://www.sciencedirect.com/science/article/pii/S0022103103001264,"Justin Kruger, Jeremy Burrus",https://www.sciencedirect.com/science/article/pii/S0022103103001264/pdfft?md5=36ebde1e505e2823f32ff3e01ca7b820&pid=1-s2.0-S0022103103001264-main.pdf,Research article
Not all happy people are lazy or stupid: Evidence of systematic processing in happy moods,https://www.sciencedirect.com/science/article/pii/S0022103103001276,Linda M Isbell,https://www.sciencedirect.com/science/article/pii/S0022103103001276/pdfft?md5=bcfa0b6198484957933daadb8568acea&pid=1-s2.0-S0022103103001276-main.pdf,Research article
An affirmed self and an open mind: Self-affirmation and sensitivity to argument strength,https://www.sciencedirect.com/science/article/pii/S002210310300129X,"Joshua Correll, Steven J Spencer, Mark P Zanna",https://www.sciencedirect.com/science/article/pii/S002210310300129X/pdfft?md5=68c97f109b2d2d045b04f597709a39fc&pid=1-s2.0-S002210310300129X-main.pdf,Research article
Changing the affective valence of the stimulus items influences the IAT by re-defining the category labels,https://www.sciencedirect.com/science/article/pii/S0022103103001306,"Cassandra L Govan, Kipling D Williams",https://www.sciencedirect.com/science/article/pii/S0022103103001306/pdfft?md5=98b1a54c9cebcfaab4365a034a1b049a&pid=1-s2.0-S0022103103001306-main.pdf,Research article
Mere acceptance produces apparent attitude in the Implicit Association Test,https://www.sciencedirect.com/science/article/pii/S0022103103001318,Chris J Mitchell,https://www.sciencedirect.com/science/article/pii/S0022103103001318/pdfft?md5=f64ce4567cff080717adc7a2dbf16e63&pid=1-s2.0-S0022103103001318-main.pdf,Research article
Activating a mental simulation mind-set through generation of alternatives: Implications for debiasing in related and unrelated domains,https://www.sciencedirect.com/science/article/pii/S002210310300132X,"Edward R Hirt, Frank R Kardes, Keith D Markman",https://www.sciencedirect.com/science/article/pii/S002210310300132X/pdfft?md5=b22b479c7f7d5c4f5a565694cd6143fe&pid=1-s2.0-S002210310300132X-main.pdf,Research article
The effects of personal and collective mortality salience on individualism: Comparing Australians and Japanese with higher and lower self-esteem,https://www.sciencedirect.com/science/article/pii/S0022103103001355,"Emiko S. Kashima, Michael Halloran, Masaki Yuki, Yoshihisa Kashima",https://www.sciencedirect.com/science/article/pii/S0022103103001355/pdfft?md5=8d0b7c17ebc9e88169e35bd7bbe2bb26&pid=1-s2.0-S0022103103001355-main.pdf,Research article
Romantic jealousy as a social comparison outcome: When similarity stings,https://www.sciencedirect.com/science/article/pii/S0022103103001380,"Philip Broemer, Michael Diehl",https://www.sciencedirect.com/science/article/pii/S0022103103001380/pdfft?md5=234524679f35c6dfe4fb432f9011b2da&pid=1-s2.0-S0022103103001380-main.pdf,Research article
Deflecting negative self-relevant stereotype activation: The effects of individuation,https://www.sciencedirect.com/science/article/pii/S0022103103001409,"Nalini Ambady, Sue K Paik, Jennifer Steele, Ashli Owen-Smith, Jason P Mitchell",https://www.sciencedirect.com/science/article/pii/S0022103103001409/pdfft?md5=118c994e4cafde1b26f92960e8bedad9&pid=1-s2.0-S0022103103001409-main.pdf,Research article
Perceiver-induced constraint and attitude attribution in Japan and the US: A case for the cultural dependence of the correspondence bias,https://www.sciencedirect.com/science/article/pii/S0022103103001562,"Takahiko Masuda, Shinobu Kitayama",https://www.sciencedirect.com/science/article/pii/S0022103103001562/pdfft?md5=598e85739575deb982570d78d3e39a88&pid=1-s2.0-S0022103103001562-main.pdf,Research article
The impact of multiculturalism versus color-blindness on racial bias,https://www.sciencedirect.com/science/article/pii/S0022103103001574,"Jennifer A Richeson, Richard J Nussbaum",https://www.sciencedirect.com/science/article/pii/S0022103103001574/pdfft?md5=4e319d0df6a75e6dfd992199c6a77647&pid=1-s2.0-S0022103103001574-main.pdf,Research article
Adjusting researchers’ approach to adjustment: On the use of covariates when testing interactions,https://www.sciencedirect.com/science/article/pii/S0022103103001598,"Vincent Y. Yzerbyt, Dominique Muller, Charles M. Judd",https://www.sciencedirect.com/science/article/pii/S0022103103001598/pdfft?md5=cc3f2a875d75f2665d7ea8b78883b678&pid=1-s2.0-S0022103103001598-main.pdf,Research article
Editorial board,https://www.sciencedirect.com/science/article/pii/S0022103104000502,,https://www.sciencedirect.com/science/article/pii/S0022103104000502/pdfft?md5=574472d1b70899357e80ebf2fdef771e&pid=1-s2.0-S0022103104000502-main.pdf,N/A
Table of contents,https://www.sciencedirect.com/science/article/pii/S0022103104000514,,https://www.sciencedirect.com/science/article/pii/S0022103104000514/pdfft?md5=161f37ecd5df2268c2b29fc5de62c02c&pid=1-s2.0-S0022103104000514-main.pdf,N/A
“I am not guilty” vs “I am innocent”: Successful negation may depend on the schema used for its encoding,https://www.sciencedirect.com/science/article/pii/S0022103103001367,"Ruth Mayo, Yaacov Schul, Eugene Burnstein",https://www.sciencedirect.com/science/article/pii/S0022103103001367/pdfft?md5=15c7f213ff78db23a041fb6f5eac0316&pid=1-s2.0-S0022103103001367-main.pdf,Research article
Communicating about a social interaction: Effects on memory for protagonists’ statements and nonverbal behaviors,https://www.sciencedirect.com/science/article/pii/S0022103103001379,"Rashmi Adaval, Robert S Wyer",https://www.sciencedirect.com/science/article/pii/S0022103103001379/pdfft?md5=d95f46eb05e3295e0558b85a3888cd75&pid=1-s2.0-S0022103103001379-main.pdf,Research article
"Inclusion in a superordinate category, in-group prototypicality, and attitudes towards out-groups",https://www.sciencedirect.com/science/article/pii/S0022103103001586,"Sven Waldzus, Amélie Mummendey",https://www.sciencedirect.com/science/article/pii/S0022103103001586/pdfft?md5=e66235dd66e05ba52218b11d56029db7&pid=1-s2.0-S0022103103001586-main.pdf,Research article
"The crossed-categorization hypothesis: Evidence of reductions in the strength of categorization, but not intergroup bias",https://www.sciencedirect.com/science/article/pii/S002210310300163X,"Theresa K Vescio, Charles M Judd, Virginia S.Y Kwan",https://www.sciencedirect.com/science/article/pii/S002210310300163X/pdfft?md5=ca5460ac0b08477a71f40c17c24e4762&pid=1-s2.0-S002210310300163X-main.pdf,Research article
Diverse groups and information sharing: The effects of congruent ties,https://www.sciencedirect.com/science/article/pii/S0022103103001641,"Katherine W Phillips, Elizabeth A Mannix, Margaret A Neale, Deborah H. Gruenfeld",https://www.sciencedirect.com/science/article/pii/S0022103103001641/pdfft?md5=55448a42a66a41eaddc2f2b4603dabc1&pid=1-s2.0-S0022103103001641-main.pdf,Research article
On being sad and evasive: Affective influences on verbal communication strategies in conflict situations,https://www.sciencedirect.com/science/article/pii/S0022103104000290,"Joseph P Forgas, Michelle Cromer",https://www.sciencedirect.com/science/article/pii/S0022103104000290/pdfft?md5=cf8cc10e70b18ee1c0393b3d08ebf2c4&pid=1-s2.0-S0022103104000290-main.pdf,Research article
Functional modularity in stereotype representation,https://www.sciencedirect.com/science/article/pii/S0022103103001616,"Kimberly A Quinn, Kurt Hugenberg, Galen V Bodenhausen",https://www.sciencedirect.com/science/article/pii/S0022103103001616/pdfft?md5=52e0f9a9d8cb1eb728ce21edceac55bb&pid=1-s2.0-S0022103103001616-main.pdf,Research article
Lay theories in affective forecasting: The progression of affect,https://www.sciencedirect.com/science/article/pii/S0022103103001628,Eric R Igou,https://www.sciencedirect.com/science/article/pii/S0022103103001628/pdfft?md5=3f463c9b14b3bf11137bdb8ee5c4fd64&pid=1-s2.0-S0022103103001628-main.pdf,Research article
"On the propositional nature of cognitive consistency: Dissonance changes explicit, but not implicit attitudes",https://www.sciencedirect.com/science/article/pii/S0022103103001665,"Bertram Gawronski, Fritz Strack",https://www.sciencedirect.com/science/article/pii/S0022103103001665/pdfft?md5=efb4bcaeef91593ced9577d18d5edee2&pid=1-s2.0-S0022103103001665-main.pdf,Research article
Attitudes towards people with AIDS and avoidance behavior: Automatic and reflective bases of behavior,https://www.sciencedirect.com/science/article/pii/S0022103103001677,"Roland Neumann, Katharina Hülsenbeck, Beate Seibt",https://www.sciencedirect.com/science/article/pii/S0022103103001677/pdfft?md5=ed053949785c6f38a41239d24ccb1659&pid=1-s2.0-S0022103103001677-main.pdf,Research article
A comparison of human aggression committed by groups and individuals: An interindividual–intergroup discontinuity,https://www.sciencedirect.com/science/article/pii/S0022103103001781,"Brian P Meier, Verlin B Hinsz",https://www.sciencedirect.com/science/article/pii/S0022103103001781/pdfft?md5=05f6fe93c7b9d6f97f0365dbf281bd97&pid=1-s2.0-S0022103103001781-main.pdf,Research article
"How low can you go? Ostracism by a computer is sufficient to lower self-reported levels of belonging, control, self-esteem, and meaningful existence",https://www.sciencedirect.com/science/article/pii/S0022103103001823,"Lisa Zadro, Kipling D Williams, Rick Richardson",https://www.sciencedirect.com/science/article/pii/S0022103103001823/pdfft?md5=6e93054d4d7c0bfe706097e3f179c78b&pid=1-s2.0-S0022103103001823-main.pdf,Research article
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103104000848,,https://www.sciencedirect.com/science/article/pii/S0022103104000848/pdfft?md5=75e195c99271ef610c720325913c6669&pid=1-s2.0-S0022103104000848-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S002210310400085X,,https://www.sciencedirect.com/science/article/pii/S002210310400085X/pdfft?md5=20895c54b54919d6d9a12e5880b50f36&pid=1-s2.0-S002210310400085X-main.pdf,N/A
Increased group dispersion after exposure to one deviant group member: Testing Hamburger’s model of member-to-group generalization,https://www.sciencedirect.com/science/article/pii/S0022103103001653,"Stefania Paolini, Miles Hewstone, Mark Rubin, Helen Pay",https://www.sciencedirect.com/science/article/pii/S0022103103001653/pdfft?md5=fbf070d5b1430298b3a5670af8bccab0&pid=1-s2.0-S0022103103001653-main.pdf,Research article
"If you don't want to be late, enumerate: Unpacking reduces the planning fallacy",https://www.sciencedirect.com/science/article/pii/S002210310300177X,"Justin Kruger, Matt Evans",https://www.sciencedirect.com/science/article/pii/S002210310300177X/pdfft?md5=2c11c3ab0026f83e688e8f0f259ab1ab&pid=1-s2.0-S002210310300177X-main.pdf,Research article
Individual and group decisions in the centipede game: Are groups more “rational” players?,https://www.sciencedirect.com/science/article/pii/S0022103103001793,"Gary Bornstein, Tamar Kugler, Anthony Ziegelmeyer",https://www.sciencedirect.com/science/article/pii/S0022103103001793/pdfft?md5=df666173f48f7cf0ee210d1341b2d98b&pid=1-s2.0-S0022103103001793-main.pdf,Research article
From thinking about what might have been to sharing what we know: The effects of counterfactual mind-sets on information sharing in groups,https://www.sciencedirect.com/science/article/pii/S0022103103001811,"Adam D Galinsky, Laura J Kray",https://www.sciencedirect.com/science/article/pii/S0022103103001811/pdfft?md5=802bf86de5340da8778f3f5a3cd97f70&pid=1-s2.0-S0022103103001811-main.pdf,Research article
When information does not deter stereotyping: Prescriptive stereotyping can foster bias under conditions that deter descriptive stereotyping,https://www.sciencedirect.com/science/article/pii/S0022103103001835,Michael J Gill,https://www.sciencedirect.com/science/article/pii/S0022103103001835/pdfft?md5=2dfd51a81bffa921ab760918135e4b5b&pid=1-s2.0-S0022103103001835-main.pdf,Research article
Reactions toward an unexpected or counternormative favor-giver: Does it matter if we think we can reciprocate?,https://www.sciencedirect.com/science/article/pii/S0022103104000216,"Amani El-Alayli, Lawrence A Messé",https://www.sciencedirect.com/science/article/pii/S0022103104000216/pdfft?md5=82a850dda8b4b6a6466cfe9e79acd4fb&pid=1-s2.0-S0022103104000216-main.pdf,Research article
Seeing is believing: Exposure to counterstereotypic women leaders and its effect on the malleability of automatic gender stereotyping,https://www.sciencedirect.com/science/article/pii/S0022103104000253,"Nilanjana Dasgupta, Shaki Asgari",https://www.sciencedirect.com/science/article/pii/S0022103104000253/pdfft?md5=f901df0117dfd81c56e9cde8e2fb67e0&pid=1-s2.0-S0022103104000253-main.pdf,Research article
Coaction and upward social comparison reduce the illusory conjunction effect: Support for distraction–conflict theory,https://www.sciencedirect.com/science/article/pii/S0022103104000034,"Dominique Muller, Thierry Atzeni, Fabrizio Butera",https://www.sciencedirect.com/science/article/pii/S0022103104000034/pdfft?md5=7150a8c987066f6b8e2924e74bf35831&pid=1-s2.0-S0022103104000034-main.pdf,Research article
Attitudes as stable and transparent constructions,https://www.sciencedirect.com/science/article/pii/S0022103104000046,"Frenk van Harreveld, Joop van der Pligt",https://www.sciencedirect.com/science/article/pii/S0022103104000046/pdfft?md5=2b1c00279993d487297fa7c259ebd04f&pid=1-s2.0-S0022103104000046-main.pdf,Research article
Sources of the discontinuity effect: Playing against a group versus being in a group,https://www.sciencedirect.com/science/article/pii/S002210310400006X,"Jennifer R Winquist, James R Larson, Jr",https://www.sciencedirect.com/science/article/pii/S002210310400006X/pdfft?md5=1da847c3bf004ba679a2187dec50b0b5&pid=1-s2.0-S002210310400006X-main.pdf,Research article
Predicting athletic performance from cardiovascular indexes of challenge and threat,https://www.sciencedirect.com/science/article/pii/S0022103104000071,"Jim Blascovich, Mark D Seery, Carrie A Mugridge, R.Kyle Norris, Max Weisbuch",https://www.sciencedirect.com/science/article/pii/S0022103104000071/pdfft?md5=9eee4b21bda9512bef7d832bab1b1e2f&pid=1-s2.0-S0022103104000071-main.pdf,Research article
The man who wasn't there: Subliminal social comparison standards influence self-evaluation,https://www.sciencedirect.com/science/article/pii/S0022103104000228,"Thomas Mussweiler, Katja Rüter, Kai Epstude",https://www.sciencedirect.com/science/article/pii/S0022103104000228/pdfft?md5=5d2a2403c7d588461a3f0d0d48812cf4&pid=1-s2.0-S0022103104000228-main.pdf,Research article
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0022103104000939,,https://www.sciencedirect.com/science/article/pii/S0022103104000939/pdfft?md5=5b2ca98010a1da91473678fe8eda76b3&pid=1-s2.0-S0022103104000939-main.pdf,N/A
Table of Contents,https://www.sciencedirect.com/science/article/pii/S0022103104000940,,https://www.sciencedirect.com/science/article/pii/S0022103104000940/pdfft?md5=2323c7a7ac60ee0578ad038e25b3fef4&pid=1-s2.0-S0022103104000940-main.pdf,N/A
Social value orientations and the strategic use of fairness in ultimatum bargaining,https://www.sciencedirect.com/science/article/pii/S0022103104000289,"Eric van Dijk, David De Cremer, Michel J.J Handgraaf",https://www.sciencedirect.com/science/article/pii/S0022103104000289/pdfft?md5=e2b6eff8aa2fb62f81fa803baba4f414&pid=1-s2.0-S0022103104000289-main.pdf,Research article
Typicality and group variability as dual moderators of category-based inferences,https://www.sciencedirect.com/science/article/pii/S0022103104000381,"Alan J Lambert, Alison L Chasteen, B.Keith Payne, Lara Shaffer",https://www.sciencedirect.com/science/article/pii/S0022103104000381/pdfft?md5=02bcd228e111501d46cf80ebfc48cbe1&pid=1-s2.0-S0022103104000381-main.pdf,Research article
