Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Journal of Experimental Psychology: General,133,2,2004,Visual Word Recognition of Single-Syllable Words.,"Balota, David A.; Cortese, Michael J.; Sergent-Marshall, Susan D.; Spieler, Daniel H.; Yap, Melvin J.",Pending,283-316,Articles,https://doi.org/10.1037/0096-3445.133.2.283,Pending,582
Journal of Experimental Psychology: General,133,3,2004,"A Rational Look at the Emotional Stroop Phenomenon: A Generic Slowdown, Not a Stroop Effect.","Algom, Daniel; Chajut, Eran; Lev, Shlomo",Pending,323-338,Articles,https://doi.org/10.1037/0096-3445.133.3.323,Pending,411
Journal of Experimental Psychology: General,133,3,2004,Load Theory of Selective Attention and Cognitive Control.,"Lavie, Nilli; Hirst, Aleksandra; de Fockert, Jan W.; Viding, Essi",Pending,339-354,Articles,https://doi.org/10.1037/0096-3445.133.3.339,Pending,1013
Journal of Experimental Psychology: General,133,3,2004,Double Dissociations in Visual and Spatial Short-Term Memory.,"Klauer, Karl Christoph; Zhao, Zengmei",Pending,355-381,Articles,https://doi.org/10.1037/0096-3445.133.3.355,Pending,190
Journal of Experimental Psychology: General,133,3,2004,The Role of Bottom-Up Processing in Perceptual Categorization by 3- to 4-Month-Old Infants: Simulations and Data.,"French, Robert M.; Mareschal, Denis; Mermillod, Martial; Quinn, Paul C.",Pending,382-397,Articles,https://doi.org/10.1037/0096-3445.133.3.382,Pending,91
Journal of Experimental Psychology: General,133,3,2004,"Category Learning in Rhesus Monkeys: A Study of the Shepard, Hovland, and Jenkins (1961) Tasks.","Smith, J. David; Minda, John Paul; Washburn, David A.",Pending,398-414,Articles,https://doi.org/10.1037/0096-3445.133.3.398,Pending,78
Journal of Experimental Psychology: General,133,3,2004,Having the Memory of an Elephant: Long-Term Retrieval and the Use of Analogues in Problem Solving.,"Chen, Zhe; Mo, Lei; Honomichl, Ryan",Pending,415-433,Articles,https://doi.org/10.1037/0096-3445.133.3.415,Pending,30
Journal of Experimental Psychology: General,133,3,2004,The Collider Principle in Causal Reasoning: Why the Monty Hall Dilemma Is So Hard.,"Burns, Bruce D.; Wieth, Mareike",Pending,434-449,Articles,https://doi.org/10.1037/0096-3445.133.3.434,Pending,35
Journal of Experimental Psychology: General,133,3,2004,This construction needs learned.,"Kaschak, Michael P.; Glenberg, Arthur M.",Pending,450-467,Articles,https://doi.org/10.1037/0096-3445.133.3.450,Pending,98
Journal of Experimental Psychology: General,133,4,2004,Negative Compatibility or Object Updating? A Cautionary Tale of Mask-Dependent Priming.,"Lleras, Alejandro; Enns, James T.",Pending,475-493,Articles,https://doi.org/10.1037/0096-3445.133.4.475,Pending,138
Journal of Experimental Psychology: General,133,4,2004,Qualitative Differences Between Conscious and Nonconscious Processing? On Inverse Priming Induced by Masked Arrows.,"Verleger, Rolf; Jaśkowski, Piotr; Aydemir, Aytaç; van der Lubbe, Rob H. J.; Groen, Margriet",Pending,494-515,Articles,https://doi.org/10.1037/0096-3445.133.4.494,Pending,117
Journal of Experimental Psychology: General,133,4,2004,"Orienting Attention Via Observed Gaze Shift Evokes Longer Term Inhibitory Effects: Implications for Social Interactions, Attention, and Memory.","Frischen, Alexandra; Tipper, Steven P.",Pending,516-533,Articles,https://doi.org/10.1037/0096-3445.133.4.516,Pending,121
Journal of Experimental Psychology: General,133,4,2004,Schematic Influences on Category Learning and Recognition Memory.,"Sakamoto, Yasuaki; Love, Bradley C.",Pending,534-553,Articles,https://doi.org/10.1037/0096-3445.133.4.534,Pending,68
Journal of Experimental Psychology: General,133,4,2004,The Development of Color Categories in Two Languages: A Longitudinal Study.,"Roberson, Debi; Davidoff, Jules; Davies, Ian R. L.; Shapiro, Laura R.",Pending,554-571,Articles,https://doi.org/10.1037/0096-3445.133.4.554,Pending,69
Journal of Experimental Psychology: General,133,4,2004,Learning Nonadjacent Dependencies: No Need for Algebraic-Like Computations.,"Perruchet, Pierre; Tyler, Michael D.; Galland, Nadine; Peereman, Ronald",Pending,573-583,Articles,https://doi.org/10.1037/0096-3445.133.4.573,Pending,59
Journal of Experimental Psychology: General,133,4,2004,More on the Fragility of Performance: Choking Under Pressure in Mathematical Problem Solving.,"Beilock, Sian L.; Kulp, Catherine A.; Holt, Lauren E.; Carr, Thomas H.",Pending,584-600,Articles,https://doi.org/10.1037/0096-3445.133.4.584,Pending,222
Journal of Experimental Psychology: General,133,4,2004,Assessing the Causal Structure of Function.,"Chaigneau, Sergio E.; Barsalou, Lawrence W.; Sloman, Steven A.",Pending,601-625,Articles,https://doi.org/10.1037/0096-3445.133.4.601,Pending,50
Journal of Experimental Psychology: General,133,4,2004,Partition-Edit-Count: Naive Extensional Reasoning in Judgment of Conditional Probability.,"Fox, Craig R.; Levav, Jonathan",Pending,626-642,Articles,https://doi.org/10.1037/0096-3445.133.4.626,Pending,38
Journal of Experimental Psychology: General,133,4,2004,Predicting One's Own Forgetting: The Role of Experience-Based and Theory-Based Processes.,"Koriat, Asher; Bjork, Robert A.; Sheffer, Limor; Bar, Sarah K.",Pending,643-656,Articles,https://doi.org/10.1037/0096-3445.133.4.643,Pending,279
Journal of Experimental Psychology: General,134,1,2005,Ignorance of Hedonic Adaptation to Hemodialysis: A Study Using Ecological Momentary Assessment.,"Riis, Jason; Loewenstein, George; Baron, Jonathan; Jepson, Christopher; Fagerlin, Angela; Ubel, Peter A.",Pending,3-9,Articles,https://doi.org/10.1037/0096-3445.134.1.3,Pending,116
Journal of Experimental Psychology: General,134,1,2005,Depressive Realism and Outcome Density Bias in Contingency Judgments: The Effect of the Context and Intertrial Interval.,"Msetfi, Rachel M.; Murphy, Robin A.; Simpson, Jane; Kornbrot, Diana E.",Pending,10-22,Articles,https://doi.org/10.1037/0096-3445.134.1.10,Pending,85
Journal of Experimental Psychology: General,134,1,2005,Resource Slack and Propensity to Discount Delayed Investments of Time Versus Money.,"Zauberman, Gal; Lynch Jr., John G.",Pending,23-37,Articles,https://doi.org/10.1037/0096-3445.134.1.23,Pending,210
Journal of Experimental Psychology: General,134,1,2005,The Allure of the Alignable: Younger and Older Adults' False Memories of Choice Features.,"Mather, Mara; Knight, Marisa; McCaffrey, Michael",Pending,38-51,Articles,https://doi.org/10.1037/0096-3445.134.1.38,Pending,82
Journal of Experimental Psychology: General,134,1,2005,Intentional and Unintentional Contributions to Nonspecific Preparation: Electrophysiological Evidence.,"Los, Sander A.; Heslenfeld, Dirk J.",Pending,52-72,Articles,https://doi.org/10.1037/0096-3445.134.1.52,Pending,80
Journal of Experimental Psychology: General,134,1,2005,Attention: Reaction Time and Accuracy Reveal Different Mechanisms.,"Prinzmetal, William; McCool, Christin; Park, Samuel",Pending,73-92,Articles,https://doi.org/10.1037/0096-3445.134.1.73,Pending,241
Journal of Experimental Psychology: General,134,1,2005,A Simon Effect in Pigeons.,"Urcuioli, Peter J.; Vu, Kim-Phuong L.; Proctor, Robert W.",Pending,93-107,Articles,https://doi.org/10.1037/0096-3445.134.1.93,Pending,20
Journal of Experimental Psychology: General,134,2,2005,"Aging, Subjective Experience, and Cognitive Control: Dramatic False Remembering by Older Adults.","Jacoby, Larry L.; Bishara, Anthony J.; Hessels, Sandra; Toth, Jeffrey P.",Pending,131-148,Articles,https://doi.org/10.1037/0096-3445.134.2.131,Pending,130
Journal of Experimental Psychology: General,134,2,2005,Recognition by Humans and Pigeons of Novel Views of 3-D Objects and Their Photographs.,"Friedman, Alinda; Spetch, Marcia L.; Ferrey, Anne",Pending,149-162,Articles,https://doi.org/10.1037/0096-3445.134.2.149,Pending,26
Journal of Experimental Psychology: General,134,2,2005,A Mechanism for Error Detection in Speeded Response Time Tasks.,"Holroyd, Clay B.; Yeung, Nick; Coles, Michael G. H.; Cohen, Jonathan D.",Pending,163-191,Articles,https://doi.org/10.1037/0096-3445.134.2.163,Pending,157
Journal of Experimental Psychology: General,134,2,2005,Resolving Visual Interference During Covert Spatial Orienting: Online Attentional Control Through Static Records of Prior Visual Experience.,"Awh, Edward; Sgarlata, Antoinette Marie; Kliestik, John",Pending,192-206,Articles,https://doi.org/10.1037/0096-3445.134.2.192,Pending,23
Journal of Experimental Psychology: General,134,2,2005,Competition Between Endogenous and Exogenous Orienting of Visual Attention.,"Berger, Andrea; Henik, Avishai; Rafal, Robert",Pending,207-221,Articles,https://doi.org/10.1037/0096-3445.134.2.207,Pending,199
Journal of Experimental Psychology: General,134,2,2005,Lexical Information Drives Perceptual Learning of Distorted Speech: Evidence From the Comprehension of Noise-Vocoded Sentences.,"Davis, Matthew H.; Johnsrude, Ingrid S.; Hervais-Adelman, Alexis; Taylor, Karen; McGettigan, Carolyn",Pending,222-241,Articles,https://doi.org/10.1037/0096-3445.134.2.222,Pending,219
Journal of Experimental Psychology: General,134,2,2005,Personal Memories for Remote Historical Events: Accuracy and Clarity of Flashbulb Memories Related to World War II.,"Berntsen, Dorthe; Thomsen, Dorthe K.",Pending,242-257,Articles,https://doi.org/10.1037/0096-3445.134.2.242,Pending,106
Journal of Experimental Psychology: General,134,2,2005,Affective Influences on the Attentional Dynamics Supporting Awareness.,"Anderson, Adam K.",Pending,258-281,Articles,https://doi.org/10.1037/0096-3445.134.2.258,Pending,431
Journal of Experimental Psychology: General,134,3,2005,The Role of the Locus Coeruleus in Mediating the Attentional Blink: A Neurocomputational Theory.,"Nieuwenhuis, Sander; Gilzenrat, Mark S.; Holmes, Benjamin D.; Cohen, Jonathan D.",Pending,291-307,Articles,https://doi.org/10.1037/0096-3445.134.3.291,Pending,120
Journal of Experimental Psychology: General,134,3,2005,How Many Dimensions Underlie Judgments of Learning and Recall? Evidence From State-Trace Methodology.,"Jang, Yoonhee; Nelson, Thomas O.",Pending,308-326,Articles,https://doi.org/10.1037/0096-3445.134.3.308,Pending,23
Journal of Experimental Psychology: General,134,3,2005,Multiple Processes in Prospective Memory Retrieval: Factors Determining Monitoring Versus Spontaneous Retrieval.,"Einstein, Gilles O.; McDaniel, Mark A.; Thomas, Ruthann; Mayfield, Sara; Shank, Hilary; Morrisette, Nova; Breneiser, Jennifer",Pending,327-342,Articles,https://doi.org/10.1037/0096-3445.134.3.327,Pending,408
Journal of Experimental Psychology: General,134,3,2005,Modeling Task Switching Without Switching Tasks: A Short-Term Priming Account of Explicitly Cued Performance.,"Schneider, Darryl W.; Logan, Gordon D.",Pending,343-367,Articles,https://doi.org/10.1037/0096-3445.134.3.343,Pending,184
Journal of Experimental Psychology: General,134,3,2005,Binding and Inhibition in Working Memory: Individual and Age Differences in Short-Term Recognition.,"Oberauer, Klaus",Pending,368-387,Articles,https://doi.org/10.1037/0096-3445.134.3.368,Pending,284
Journal of Experimental Psychology: General,134,3,2005,Putting <em>If</em>s to Work: Goal-Based Relevance in Conditional Directives.,"Hilton, Denis J.; Kemmelmeier, Markus; Bonnefon, Jean-François",Pending,388-405,Articles,https://doi.org/10.1037/0096-3445.134.3.388,Pending,23
Journal of Experimental Psychology: General,134,3,2005,The Role of Salience in the Extraction of Algebraic Rules.,"Endress, Ansgar D.; Scholl, Brian J.; Mehler, Jacques",Pending,406-419,Articles,https://doi.org/10.1037/0096-3445.134.3.406,Pending,87
Journal of Experimental Psychology: General,134,4,2005,Visual Search and the Collapse of Categorization.,"Smith, J. David; Redford, Joshua S.; Gent, Lauren C.; Washburn, David A.",Pending,443-460,Articles,https://doi.org/10.1037/0096-3445.134.4.443,Pending,21
Journal of Experimental Psychology: General,134,4,2005,How Does Attention Select and Track Spatially Extended Objects? New Effects of Attentional Concentration and Amplification.,"Alvarez, George A.; Scholl, Brian J.",Pending,461-476,Articles,https://doi.org/10.1037/0096-3445.134.4.461,Pending,45
Journal of Experimental Psychology: General,134,4,2005,Integration of Multiple Speech Segmentation Cues: A Hierarchical Framework.,"Mattys, Sven L.; White, Laurence; Melhorn, James F.",Pending,477-500,Articles,https://doi.org/10.1037/0096-3445.134.4.477,Pending,205
Journal of Experimental Psychology: General,134,4,2005,Grammatical Gender Effects on Cognition: Implications for Language Learning and Language Use.,"Vigliocco, Gabriella; Vinson, David P.; Paganelli, Federica; Dworzynski, Katharina",Pending,501-520,Articles,https://doi.org/10.1037/0096-3445.134.4.501,Pending,64
Journal of Experimental Psychology: General,134,4,2005,Encoding Multielement Scenes: Statistical Learning of Visual Feature Hierarchies.,"Fiser, József; Aslin, Richard N.",Pending,521-537,Articles,https://doi.org/10.1037/0096-3445.134.4.521,Pending,130
Journal of Experimental Psychology: General,134,4,2005,How Subjective Grouping of Options Influences Choice and Allocation: Diversification Bias and the Phenomenon of Partition Dependence.,"Fox, Craig R.; Ratner, Rebecca K.; Lieb, Daniel S.",Pending,538-551,Articles,https://doi.org/10.1037/0096-3445.134.4.538,Pending,60
Journal of Experimental Psychology: General,134,4,2005,The Automaticity of Visual Statistical Learning.,"Turk-Browne, Nicholas B.; Jungé, Justin A.; Scholl, Brian J.",Pending,552-564,Articles,https://doi.org/10.1037/0096-3445.134.4.552,Pending,477
Journal of Experimental Psychology: General,134,4,2005,Moderators of the Relationship Between Implicit and Explicit Evaluation.,"Nosek, Brian A.",Pending,565-584,Articles,https://doi.org/10.1037/0096-3445.134.4.565,Pending,477
Journal of Experimental Psychology: General,135,1,2006,"Seeing, acting, understanding: Motor resonance in language comprehension.","Zwaan, Rolf A.; Taylor, Lawrence J.",Pending,1-11,Articles,https://doi.org/10.1037/0096-3445.135.1.1,Pending,437
Journal of Experimental Psychology: General,135,1,2006,"Tracking the mind during reading: The influence of past, present, and future words on fixation durations.","Kliegl, Reinhold; Nuthmann, Antje; Engbert, Ralf",Pending,12-35,Articles,https://doi.org/10.1037/0096-3445.135.1.12,Pending,333
Journal of Experimental Psychology: General,135,1,2006,The intricate relationships between monitoring and control in metacognition: Lessons for the cause-and-effect relation between subjective experience and behavior.,"Koriat, Asher; Ma'ayan, Hilit; Nussinson, Ravit",Pending,36-69,Articles,https://doi.org/10.1037/0096-3445.135.1.36,Pending,284
Journal of Experimental Psychology: General,135,1,2006,"Linking automatic evaluation to mood and information processing style: Consequences for experienced affect, impression formation, and stereotyping.","Chartrand, Tanya L.; van Baaren, Rick B.; Bargh, John A.",Pending,70-77,Articles,https://doi.org/10.1037/0096-3445.135.1.70,Pending,90
Journal of Experimental Psychology: General,135,1,2006,Stuck in a rut: Perseverative response tendencies and the neuroticism-distress relationship.,"Robinson, Michael D.; Wilkowski, Benjamin M.; Kirkeby, Ben S.; Meier, Brian P.",Pending,78-91,Articles,https://doi.org/10.1037/0096-3445.135.1.78,Pending,47
Journal of Experimental Psychology: General,135,1,2006,Reasoning rats: Forward blocking in Pavlovian animal conditioning is sensitive to constraints of causal inference.,"Beckers, Tom; Miller, Ralph R.; De Houwer, Jan; Urushihara, Kouji",Pending,92-102,Articles,https://doi.org/10.1037/0096-3445.135.1.92,Pending,88
Journal of Experimental Psychology: General,135,1,2006,Interruption of the Tower of London task: Support for a goal-activation approach.,"Hodgetts, Helen M.; Jones, Dylan M.",Pending,103-115,Articles,https://doi.org/10.1037/0096-3445.135.1.103,Pending,79
Journal of Experimental Psychology: General,135,1,2006,Perceptual encoding efficiency in visual search.,"Rauschenberger, Robert; Yantis, Steven",Pending,116-131,Articles,https://doi.org/10.1037/0096-3445.135.1.116,Pending,47
Journal of Experimental Psychology: General,135,2,2006,"Instantiated features and the use of ""rules.""","Brooks, Lee R.; Hannah, Samuel D.",Pending,133-151,Articles,https://doi.org/10.1037/0096-3445.135.2.133,Pending,33
Journal of Experimental Psychology: General,135,2,2006,Predicting the near and distant future.,"Nussbaum, Shiri; Liberman, Nira; Trope, Yaacov",Pending,152-161,Articles,https://doi.org/10.1037/0096-3445.135.2.152,Pending,82
Journal of Experimental Psychology: General,135,2,2006,Insight and strategy in multiple-cue learning.,"Lagnado, David A.; Newell, Ben R.; Kahan, Steven; Shanks, David R.",Pending,162-183,Articles,https://doi.org/10.1037/0096-3445.135.2.162,Pending,83
Journal of Experimental Psychology: General,135,2,2006,From recurrent choice to skill learning: A reinforcement-learning model.,"Fu, Wai-Tat; Anderson, John R.",Pending,184-206,Articles,https://doi.org/10.1037/0096-3445.135.2.184,Pending,58
Journal of Experimental Psychology: General,135,2,2006,SSL: A Theory of How People Learn to Select Strategies.,"Rieskamp, Jörg; Otto, Philipp E.",Pending,207-236,Articles,https://doi.org/10.1037/0096-3445.135.2.207,Pending,361
Journal of Experimental Psychology: General,135,2,2006,Tradeoffs and theory: The double-mediation model.,"Scholten, Marc; Sherman, Steven J.",Pending,237-261,Articles,https://doi.org/10.1037/0096-3445.135.2.237,Pending,3
Journal of Experimental Psychology: General,135,2,2006,The influence of improper sets of information on judgment: How irrelevant information can bias judged probability.,"Dougherty, Michael R.; Sprenger, Amber",Pending,262-281,Articles,https://doi.org/10.1037/0096-3445.135.2.262,Pending,25
Journal of Experimental Psychology: General,135,2,2006,Dissociating uncertainty responses and reinforcement signals in the comparative study of uncertainty monitoring.,"Smith, J. David; Beran, Michael J.; Redford, Joshua S.; Washburn, David A.",Pending,282-297,Articles,https://doi.org/10.1037/0096-3445.135.2.282,Pending,93
Journal of Experimental Psychology: General,135,2,2006,Is the binding of visual features in working memory resource-demanding?,"Allen, Richard J.; Baddeley, Alan D.; Hitch, Graham J.",Pending,298-313,Articles,https://doi.org/10.1037/0096-3445.135.2.298,Pending,337
Journal of Experimental Psychology: General,135,3,2006,"Embodied spatial transformations: ""Body analogy"" for the mental rotation of objects.","Amorim, Michel-Ange; Isableu, Brice; Jarraya, Mohamed",Pending,327-347,Articles,https://doi.org/10.1037/0096-3445.135.3.327,Pending,131
Journal of Experimental Psychology: General,135,3,2006,The time of our lives: Life span development of timing and event tracking.,"McAuley, J. Devin; Jones, Mari Riess; Holub, Shayla; Johnston, Heather M.; Miller, Nathaniel S.",Pending,348-367,Articles,https://doi.org/10.1037/0096-3445.135.3.348,Pending,235
Journal of Experimental Psychology: General,135,3,2006,"Rate of acquisition, adult age, and basic cognitive abilities predict forgetting: New views on a classic problem.","MacDonald, Stuart W. S.; Stigsdotter-Neely, Anna; Derwinger, Anna; Bäckman, Lars",Pending,368-390,Articles,https://doi.org/10.1037/0096-3445.135.3.368,Pending,27
Journal of Experimental Psychology: General,135,3,2006,An application of the Poisson race model to confidence calibration.,"Merkle, Edgar C.; Van Zandt, Trisha",Pending,391-408,Articles,https://doi.org/10.1037/0096-3445.135.3.391,Pending,51
Journal of Experimental Psychology: General,135,3,2006,Intuitive confidence: Choosing between intuitive and nonintuitive alternatives.,"Simmons, Joseph P.; Nelson, Leif D.",Pending,409-428,Articles,https://doi.org/10.1037/0096-3445.135.3.409,Pending,125
Journal of Experimental Psychology: General,135,3,2006,Inflation of conditional predictions.,"Koriat, Asher; Fiedler, Klaus; Bjork, Robert A.",Pending,429-447,Articles,https://doi.org/10.1037/0096-3445.135.3.429,Pending,21
Journal of Experimental Psychology: General,135,3,2006,"Looking at perspective pictures from too far, too close, and just right.","Juricevic, Igor; Kennedy, John M.",Pending,448-461,Articles,https://doi.org/10.1037/0096-3445.135.3.448,Pending,21
Journal of Experimental Psychology: General,135,3,2006,"""Do we need algebraic-like computations? A reply to Bonatti, Pena, Nespor, and Mehler (2004)"": Correction to Perruchet et al. (2006).","Perruchet, Pierre; Peereman, Ronald; Tyler, Michael D.",Pending,461,Other,https://doi.org/10.1037/0096-3445.135.3.461,Pending,5
Journal of Experimental Psychology: General,135,3,2006,From tip-of-the-tongue (TOT) data to theoretical implications in two steps: When more TOTs means better retrieval.,"Gollan, Tamar H.; Brown, Alan S.",Pending,462-483,Articles,https://doi.org/10.1037/0096-3445.135.3.462,Pending,122
Journal of Experimental Psychology: General,135,4,2006,Distortions in the perceived lightness of faces: The role of race categories.,"Levin, Daniel T.; Banaji, Mahzarin R.",Pending,501-512,Articles,https://doi.org/10.1037/0096-3445.135.4.501,Pending,135
Journal of Experimental Psychology: General,135,4,2006,A theory of dynamic occluded and illusory object perception.,"Palmer, Evan M.; Kellman, Philip J.; Shipley, Thomas F.",Pending,513-541,Articles,https://doi.org/10.1037/0096-3445.135.4.513,Pending,43
Journal of Experimental Psychology: General,135,4,2006,Visual sharpness contingency in recognition memory for orientation: Mnemonic illusion suppressed by sensory signature.,"Martin, Maryanne; Jones, Gregory V.",Pending,542-552,Articles,https://doi.org/10.1037/0096-3445.135.4.542,Pending,1
Journal of Experimental Psychology: General,135,4,2006,Note of clarification on Scholten and Sherman (2006): Erratum.,"Scholten, Marc; Sherman, Steven J.",Pending,552,Other,https://doi.org/10.1037/0096-3445.135.4.552,Pending,0
Journal of Experimental Psychology: General,135,4,2006,Retrieval-induced facilitation: Initially nontested material can benefit from prior testing of related material.,"Chan, Jason C. K.; McDermott, Kathleen B.; Roediger III, Henry L.",Pending,553-571,Articles,https://doi.org/10.1037/0096-3445.135.4.553,Pending,229
Journal of Experimental Psychology: General,135,4,2006,Determinants of justification and self-control.,"Kivetz, Ran; Zheng, Yuhuang",Pending,572-587,Articles,https://doi.org/10.1037/0096-3445.135.4.572,Pending,125
Journal of Experimental Psychology: General,135,4,2006,Hierarchical encoding of behavior: Translating perception into action.,"Hard, Bridgette Martin; Lozano, Sandra C.; Tversky, Barbara",Pending,588-608,Articles,https://doi.org/10.1037/0096-3445.135.4.588,Pending,23
Journal of Experimental Psychology: General,135,4,2006,The association between psychological distance and construal level: Evidence from an implicit association test.,"Bar-Anan, Yoav; Liberman, Nira; Trope, Yaacov",Pending,609-622,Articles,https://doi.org/10.1037/0096-3445.135.4.609,Pending,234
Journal of Experimental Psychology: General,135,4,2006,Hierarchical control of cognitive processes: Switching tasks in sequences.,"Schneider, Darryl W.; Logan, Gordon D.",Pending,623-640,Articles,https://doi.org/10.1037/0096-3445.135.4.623,Pending,79
Journal of Experimental Psychology: General,135,4,2006,Seeing the forest when entry is unlikely: Probability and the mental representation of events.,"Wakslak, Cheryl J.; Trope, Yaacov; Liberman, Nira; Alony, Rotem",Pending,641-653,Articles,https://doi.org/10.1037/0096-3445.135.4.641,Pending,243
Journal of Experimental Psychology: General,136,1,2007,No Special K! A signal detection framework for the strategic regulation of memory accuracy.,"Higham, Philip A.",Pending,1-22,Articles,https://doi.org/10.1037/0096-3445.136.1.1,Pending,64
Journal of Experimental Psychology: General,136,1,2007,Reduced specificity of autobiographical memory and depression: The role of executive control.,"Dalgleish, Tim; Williams, J. Mark G.; Golden, Ann-Marie J.; Perkins, Nicola; Barrett, Lisa Feldman; Barnard, Philip J.; Au Yeung, Cecilia; Murphy, Victoria; Elward, Rachael; Tchanturia, Kate; Watkins, Edward",Pending,23-42,Articles,https://doi.org/10.1037/0096-3445.136.1.23,Pending,332
Journal of Experimental Psychology: General,136,1,2007,Modes of executive control in sequence learning: From stimulus-based to plan-based control.,"Tubau, Elisabet; Hommel, Bernhard; López-Moliner, Joan",Pending,43-63,Articles,https://doi.org/10.1037/0096-3445.136.1.43,Pending,50
Journal of Experimental Psychology: General,136,1,2007,The role of working memory in syntactic ambiguity resolution: A psychometric approach.,"Swets, Benjamin; Desmet, Timothy; Hambrick, David Z.; Ferreira, Fernanda",Pending,64-81,Articles,https://doi.org/10.1037/0096-3445.136.1.64,Pending,117
Journal of Experimental Psychology: General,136,1,2007,Representing causation.,"Wolff, Phillip",Pending,82-111,Articles,https://doi.org/10.1037/0096-3445.136.1.82,Pending,137
Journal of Experimental Psychology: General,136,1,2007,"Is time-based prospective remembering mediated by self-initiated rehearsals? Role of incidental cues, ongoing activity, age, and motivation.","Kvavilashvili, Lia; Fisher, Laura",Pending,112-132,Articles,https://doi.org/10.1037/0096-3445.136.1.112,Pending,141
Journal of Experimental Psychology: General,136,1,2007,Feature sampling in detection: Implications for the measurement of perceptual independence.,"Macho, Siegfried",Pending,133-153,Articles,https://doi.org/10.1037/0096-3445.136.1.133,Pending,6
Journal of Experimental Psychology: General,136,1,2007,Color and psychological functioning: The effect of red on performance attainment.,"Elliot, Andrew J.; Maier, Markus A.; Moller, Arlen C.; Friedman, Ron; Meinhardt, Jörg",Pending,154-168,Articles,https://doi.org/10.1037/0096-3445.136.1.154,Pending,255
