Journal,Volume,Issue,Publication Year,Title,Authors,Pages,Type,DOI,PDF Link
Journal of Experimental Psychology: General,133,4,2004,Learning Nonadjacent Dependencies: No Need for Algebraic-Like Computations.,"Perruchet, Pierre; Tyler, Michael D.; Galland, Nadine; Peereman, Ronald",573-573-583,Articles,https://doi.org/10.1037/0096-3445.133.4.573,https://psycnet.apa.orgxge/133/4/573.pdf
Journal of Experimental Psychology: General,133,4,2004,More on the Fragility of Performance: Choking Under Pressure in Mathematical Problem Solving.,"Beilock, Sian L.; Kulp, Catherine A.; Holt, Lauren E.; Carr, Thomas H.",584-584-600,Articles,https://doi.org/10.1037/0096-3445.133.4.584,https://psycnet.apa.orgxge/133/4/584.pdf
Journal of Experimental Psychology: General,133,4,2004,Assessing the Causal Structure of Function.,"Chaigneau, Sergio E.; Barsalou, Lawrence W.; Sloman, Steven A.",601-601-625,Articles,https://doi.org/10.1037/0096-3445.133.4.601,https://psycnet.apa.orgxge/133/4/601.pdf
Journal of Experimental Psychology: General,133,4,2004,Partition-Edit-Count: Naive Extensional Reasoning in Judgment of Conditional Probability.,"Fox, Craig R.; Levav, Jonathan",626-626-642,Articles,https://doi.org/10.1037/0096-3445.133.4.626,https://psycnet.apa.orgxge/133/4/626.pdf
Journal of Experimental Psychology: General,133,4,2004,Predicting One's Own Forgetting: The Role of Experience-Based and Theory-Based Processes.,"Koriat, Asher; Bjork, Robert A.; Sheffer, Limor; Bar, Sarah K.",643-643-656,Articles,https://doi.org/10.1037/0096-3445.133.4.643,https://psycnet.apa.orgxge/133/4/643.pdf
Journal of Experimental Psychology: General,134,1,2005,Ignorance of Hedonic Adaptation to Hemodialysis: A Study Using Ecological Momentary Assessment.,"Riis, Jason; Loewenstein, George; Baron, Jonathan; Jepson, Christopher; Fagerlin, Angela; Ubel, Peter A.",3-3-9,Articles,https://doi.org/10.1037/0096-3445.134.1.3,https://psycnet.apa.orgxge/134/1/3.pdf
Journal of Experimental Psychology: General,134,1,2005,Depressive Realism and Outcome Density Bias in Contingency Judgments: The Effect of the Context and Intertrial Interval.,"Msetfi, Rachel M.; Murphy, Robin A.; Simpson, Jane; Kornbrot, Diana E.",10-10-22,Articles,https://doi.org/10.1037/0096-3445.134.1.10,https://psycnet.apa.orgxge/134/1/10.pdf
Journal of Experimental Psychology: General,134,1,2005,Resource Slack and Propensity to Discount Delayed Investments of Time Versus Money.,"Zauberman, Gal; Lynch Jr., John G.",23-23-37,Articles,https://doi.org/10.1037/0096-3445.134.1.23,https://psycnet.apa.orgxge/134/1/23.pdf
Journal of Experimental Psychology: General,134,1,2005,The Allure of the Alignable: Younger and Older Adults' False Memories of Choice Features.,"Mather, Mara; Knight, Marisa; McCaffrey, Michael",38-38-51,Articles,https://doi.org/10.1037/0096-3445.134.1.38,https://psycnet.apa.orgxge/134/1/38.pdf
Journal of Experimental Psychology: General,134,1,2005,Intentional and Unintentional Contributions to Nonspecific Preparation: Electrophysiological Evidence.,"Los, Sander A.; Heslenfeld, Dirk J.",52-52-72,Articles,https://doi.org/10.1037/0096-3445.134.1.52,https://psycnet.apa.orgxge/134/1/52.pdf
Journal of Experimental Psychology: General,134,1,2005,Attention: Reaction Time and Accuracy Reveal Different Mechanisms.,"Prinzmetal, William; McCool, Christin; Park, Samuel",73-73-92,Articles,https://doi.org/10.1037/0096-3445.134.1.73,https://psycnet.apa.orgxge/134/1/73.pdf
Journal of Experimental Psychology: General,134,1,2005,A Simon Effect in Pigeons.,"Urcuioli, Peter J.; Vu, Kim-Phuong L.; Proctor, Robert W.",93-93-107,Articles,https://doi.org/10.1037/0096-3445.134.1.93,https://psycnet.apa.orgxge/134/1/93.pdf
Journal of Experimental Psychology: General,134,1,2005,Human Cognition and a Pile of Sand: A Discussion on Serial Correlations and Self-Organized Criticality.,"Wagenmakers, Eric-Jan; Farrell, Simon; Ratcliff, Roger",108-108-116,Comments,https://doi.org/10.1037/0096-3445.134.1.108,https://psycnet.apa.orgxge/134/1/108.pdf
Journal of Experimental Psychology: General,134,1,2005,Human Cognition and 1/<em>f</em> Scaling.,"Van Orden, Guy C.; Holden, John G.; Turvey, Michael T.",117-117-123,Comments,https://doi.org/10.1037/0096-3445.134.1.117,https://psycnet.apa.orgxge/134/1/117.pdf
Journal of Experimental Psychology: General,134,1,2005,Lack of Pervasiveness of the Underconfidence-With-Practice Effect: Boundary Conditions and an Explanation Via Anchoring.,"Scheck, Petra; Nelson, Thomas O.",124-124-128,Comments,https://doi.org/10.1037/0096-3445.134.1.124,https://psycnet.apa.orgxge/134/1/124.pdf
Journal of Experimental Psychology: General,134,2,2005,"Aging, Subjective Experience, and Cognitive Control: Dramatic False Remembering by Older Adults.","Jacoby, Larry L.; Bishara, Anthony J.; Hessels, Sandra; Toth, Jeffrey P.",131-131-148,Articles,https://doi.org/10.1037/0096-3445.134.2.131,https://psycnet.apa.orgxge/134/2/131.pdf
Journal of Experimental Psychology: General,134,2,2005,Recognition by Humans and Pigeons of Novel Views of 3-D Objects and Their Photographs.,"Friedman, Alinda; Spetch, Marcia L.; Ferrey, Anne",149-149-162,Articles,https://doi.org/10.1037/0096-3445.134.2.149,https://psycnet.apa.orgxge/134/2/149.pdf
Journal of Experimental Psychology: General,134,2,2005,A Mechanism for Error Detection in Speeded Response Time Tasks.,"Holroyd, Clay B.; Yeung, Nick; Coles, Michael G. H.; Cohen, Jonathan D.",163-163-191,Articles,https://doi.org/10.1037/0096-3445.134.2.163,https://psycnet.apa.orgxge/134/2/163.pdf
Journal of Experimental Psychology: General,134,2,2005,Resolving Visual Interference During Covert Spatial Orienting: Online Attentional Control Through Static Records of Prior Visual Experience.,"Awh, Edward; Sgarlata, Antoinette Marie; Kliestik, John",192-192-206,Articles,https://doi.org/10.1037/0096-3445.134.2.192,https://psycnet.apa.orgxge/134/2/192.pdf
Journal of Experimental Psychology: General,134,2,2005,Competition Between Endogenous and Exogenous Orienting of Visual Attention.,"Berger, Andrea; Henik, Avishai; Rafal, Robert",207-207-221,Articles,https://doi.org/10.1037/0096-3445.134.2.207,https://psycnet.apa.orgxge/134/2/207.pdf
Journal of Experimental Psychology: General,134,2,2005,Lexical Information Drives Perceptual Learning of Distorted Speech: Evidence From the Comprehension of Noise-Vocoded Sentences.,"Davis, Matthew H.; Johnsrude, Ingrid S.; Hervais-Adelman, Alexis; Taylor, Karen; McGettigan, Carolyn",222-222-241,Articles,https://doi.org/10.1037/0096-3445.134.2.222,https://psycnet.apa.orgxge/134/2/222.pdf
Journal of Experimental Psychology: General,134,2,2005,Personal Memories for Remote Historical Events: Accuracy and Clarity of Flashbulb Memories Related to World War II.,"Berntsen, Dorthe; Thomsen, Dorthe K.",242-242-257,Articles,https://doi.org/10.1037/0096-3445.134.2.242,https://psycnet.apa.orgxge/134/2/242.pdf
Journal of Experimental Psychology: General,134,2,2005,Affective Influences on the Attentional Dynamics Supporting Awareness.,"Anderson, Adam K.",258-258-281,Articles,https://doi.org/10.1037/0096-3445.134.2.258,https://psycnet.apa.orgxge/134/2/258.pdf
Journal of Experimental Psychology: General,134,3,2005,The Role of the Locus Coeruleus in Mediating the Attentional Blink: A Neurocomputational Theory.,"Nieuwenhuis, Sander; Gilzenrat, Mark S.; Holmes, Benjamin D.; Cohen, Jonathan D.",291-291-307,Articles,https://doi.org/10.1037/0096-3445.134.3.291,https://psycnet.apa.orgxge/134/3/291.pdf
Journal of Experimental Psychology: General,134,3,2005,How Many Dimensions Underlie Judgments of Learning and Recall? Evidence From State-Trace Methodology.,"Jang, Yoonhee; Nelson, Thomas O.",308-308-326,Articles,https://doi.org/10.1037/0096-3445.134.3.308,https://psycnet.apa.orgxge/134/3/308.pdf
Journal of Experimental Psychology: General,134,3,2005,Multiple Processes in Prospective Memory Retrieval: Factors Determining Monitoring Versus Spontaneous Retrieval.,"Einstein, Gilles O.; McDaniel, Mark A.; Thomas, Ruthann; Mayfield, Sara; Shank, Hilary; Morrisette, Nova; Breneiser, Jennifer",327-327-342,Articles,https://doi.org/10.1037/0096-3445.134.3.327,https://psycnet.apa.orgxge/134/3/327.pdf
Journal of Experimental Psychology: General,134,3,2005,Modeling Task Switching Without Switching Tasks: A Short-Term Priming Account of Explicitly Cued Performance.,"Schneider, Darryl W.; Logan, Gordon D.",343-343-367,Articles,https://doi.org/10.1037/0096-3445.134.3.343,https://psycnet.apa.orgxge/134/3/343.pdf
Journal of Experimental Psychology: General,134,3,2005,Binding and Inhibition in Working Memory: Individual and Age Differences in Short-Term Recognition.,"Oberauer, Klaus",368-368-387,Articles,https://doi.org/10.1037/0096-3445.134.3.368,https://psycnet.apa.orgxge/134/3/368.pdf
Journal of Experimental Psychology: General,134,3,2005,Putting <em>If</em>s to Work: Goal-Based Relevance in Conditional Directives.,"Hilton, Denis J.; Kemmelmeier, Markus; Bonnefon, Jean-François",388-388-405,Articles,https://doi.org/10.1037/0096-3445.134.3.388,https://psycnet.apa.orgxge/134/3/388.pdf
Journal of Experimental Psychology: General,134,3,2005,The Role of Salience in the Extraction of Algebraic Rules.,"Endress, Ansgar D.; Scholl, Brian J.; Mehler, Jacques",406-406-419,Articles,https://doi.org/10.1037/0096-3445.134.3.406,https://psycnet.apa.orgxge/134/3/406.pdf
Journal of Experimental Psychology: General,134,3,2005,Validity of the salience asymmetry interpretation of the Implicit Association Test: Comment on Rothermund and Wentura (2004).,"Greenwald, Anthony G.; Nosek, Brian A.; Banaji, Mahzarin R.; Klauer, K. Christoph",420-420-425,Comments,https://doi.org/10.1037/0096-3445.134.3.420,https://psycnet.apa.orgxge/134/3/420.pdf
Journal of Experimental Psychology: General,134,3,2005,"Validity of the salience asymmetry account of the Implicit Association Test: Reply to Greenwald, Nosek, Banaji, and Klauer (2005).","Rothermund, Klaus; Wentura, Dirk; De Houwer, Jan",426-426-430,Comments,https://doi.org/10.1037/0096-3445.134.3.426,https://psycnet.apa.orgxge/134/3/426.pdf
Journal of Experimental Psychology: General,134,3,2005,Two versions of the negative compatibility effect: Comment on Lleras and Enns (2004).,"Klapp, Stuart T.",431-431-435,Comments,https://doi.org/10.1037/0096-3445.134.3.431,https://psycnet.apa.orgxge/134/3/431.pdf
Journal of Experimental Psychology: General,134,3,2005,Updating a cautionary tale of masked priming: Reply to Klapp (2005).,"Lleras, Alejandro; Enns, James T.",436-436-440,Comments,https://doi.org/10.1037/0096-3445.134.3.436,https://psycnet.apa.orgxge/134/3/436.pdf
Journal of Experimental Psychology: General,134,4,2005,Visual Search and the Collapse of Categorization.,"Smith, J. David; Redford, Joshua S.; Gent, Lauren C.; Washburn, David A.",443-443-460,Articles,https://doi.org/10.1037/0096-3445.134.4.443,https://psycnet.apa.orgxge/134/4/443.pdf
Journal of Experimental Psychology: General,134,4,2005,How Does Attention Select and Track Spatially Extended Objects? New Effects of Attentional Concentration and Amplification.,"Alvarez, George A.; Scholl, Brian J.",461-461-476,Articles,https://doi.org/10.1037/0096-3445.134.4.461,https://psycnet.apa.orgxge/134/4/461.pdf
Journal of Experimental Psychology: General,134,4,2005,Integration of Multiple Speech Segmentation Cues: A Hierarchical Framework.,"Mattys, Sven L.; White, Laurence; Melhorn, James F.",477-477-500,Articles,https://doi.org/10.1037/0096-3445.134.4.477,https://psycnet.apa.orgxge/134/4/477.pdf
Journal of Experimental Psychology: General,134,4,2005,Grammatical Gender Effects on Cognition: Implications for Language Learning and Language Use.,"Vigliocco, Gabriella; Vinson, David P.; Paganelli, Federica; Dworzynski, Katharina",501-501-520,Articles,https://doi.org/10.1037/0096-3445.134.4.501,https://psycnet.apa.orgxge/134/4/501.pdf
Journal of Experimental Psychology: General,134,4,2005,Encoding Multielement Scenes: Statistical Learning of Visual Feature Hierarchies.,"Fiser, József; Aslin, Richard N.",521-521-537,Articles,https://doi.org/10.1037/0096-3445.134.4.521,https://psycnet.apa.orgxge/134/4/521.pdf
Journal of Experimental Psychology: General,134,4,2005,How Subjective Grouping of Options Influences Choice and Allocation: Diversification Bias and the Phenomenon of Partition Dependence.,"Fox, Craig R.; Ratner, Rebecca K.; Lieb, Daniel S.",538-538-551,Articles,https://doi.org/10.1037/0096-3445.134.4.538,https://psycnet.apa.orgxge/134/4/538.pdf
Journal of Experimental Psychology: General,134,4,2005,The Automaticity of Visual Statistical Learning.,"Turk-Browne, Nicholas B.; Jungé, Justin A.; Scholl, Brian J.",552-552-564,Articles,https://doi.org/10.1037/0096-3445.134.4.552,https://psycnet.apa.orgxge/134/4/552.pdf
Journal of Experimental Psychology: General,134,4,2005,Moderators of the Relationship Between Implicit and Explicit Evaluation.,"Nosek, Brian A.",565-565-584,Articles,https://doi.org/10.1037/0096-3445.134.4.565,https://psycnet.apa.orgxge/134/4/565.pdf
Journal of Experimental Psychology: General,134,4,2005,"Putting Some Feeling Into It--The Conceptual and Empirical Relationships Between the Classic and Emotional Stroop Tasks: Comment on Algom, Chajut, and Lev (2004).","Dalgleish, Tim",585-585-591,Comments,https://doi.org/10.1037/0096-3445.134.4.585,https://psycnet.apa.orgxge/134/4/585.pdf
Journal of Experimental Psychology: General,134,4,2005,Vicissitudes of a misnomer: Reply to Dalgleish (2005).,"Chajut, Eran; Lev, Shlomo; Algom, Daniel",592-592-595,Comments,https://doi.org/10.1037/0096-3445.134.4.592,https://psycnet.apa.orgxge/134/4/592.pdf
Journal of Experimental Psychology: General,134,4,2005,"Relations among categorization, induction, recognition, and similarity: Comment on Sloutsky and Fisher (2004).","Heit, Evan; Hayes, Brett K.",596-596-605,Comments,https://doi.org/10.1037/0096-3445.134.4.596,https://psycnet.apa.orgxge/134/4/596.pdf
Journal of Experimental Psychology: General,134,4,2005,"Similarity, induction, naming, and categorization (SINC): Generalization or inductive reasoning? Reply to Heit and Hayes (2005).","Sloutsky, Vladimir M.; Fisher, Anna V.",606-606-611,Comments,https://doi.org/10.1037/0096-3445.134.4.606,https://psycnet.apa.orgxge/134/4/606.pdf
Journal of Experimental Psychology: General,135,1,2006,"Seeing, acting, understanding: Motor resonance in language comprehension.","Zwaan, Rolf A.; Taylor, Lawrence J.",1-1-11,Articles,https://doi.org/10.1037/0096-3445.135.1.1,https://psycnet.apa.orgxge/135/1/1.pdf
Journal of Experimental Psychology: General,135,1,2006,"Tracking the mind during reading: The influence of past, present, and future words on fixation durations.","Kliegl, Reinhold; Nuthmann, Antje; Engbert, Ralf",12-12-35,Articles,https://doi.org/10.1037/0096-3445.135.1.12,https://psycnet.apa.orgxge/135/1/12.pdf
Journal of Experimental Psychology: General,135,1,2006,The intricate relationships between monitoring and control in metacognition: Lessons for the cause-and-effect relation between subjective experience and behavior.,"Koriat, Asher; Ma'ayan, Hilit; Nussinson, Ravit",36-36-69,Articles,https://doi.org/10.1037/0096-3445.135.1.36,https://psycnet.apa.orgxge/135/1/36.pdf
Journal of Experimental Psychology: General,135,1,2006,"Linking automatic evaluation to mood and information processing style: Consequences for experienced affect, impression formation, and stereotyping.","Chartrand, Tanya L.; van Baaren, Rick B.; Bargh, John A.",70-70-77,Articles,https://doi.org/10.1037/0096-3445.135.1.70,https://psycnet.apa.orgxge/135/1/70.pdf
Journal of Experimental Psychology: General,135,1,2006,Stuck in a rut: Perseverative response tendencies and the neuroticism-distress relationship.,"Robinson, Michael D.; Wilkowski, Benjamin M.; Kirkeby, Ben S.; Meier, Brian P.",78-78-91,Articles,https://doi.org/10.1037/0096-3445.135.1.78,https://psycnet.apa.orgxge/135/1/78.pdf
Journal of Experimental Psychology: General,135,1,2006,Reasoning rats: Forward blocking in Pavlovian animal conditioning is sensitive to constraints of causal inference.,"Beckers, Tom; Miller, Ralph R.; De Houwer, Jan; Urushihara, Kouji",92-92-102,Articles,https://doi.org/10.1037/0096-3445.135.1.92,https://psycnet.apa.orgxge/135/1/92.pdf
Journal of Experimental Psychology: General,135,1,2006,Interruption of the Tower of London task: Support for a goal-activation approach.,"Hodgetts, Helen M.; Jones, Dylan M.",103-103-115,Articles,https://doi.org/10.1037/0096-3445.135.1.103,https://psycnet.apa.orgxge/135/1/103.pdf
Journal of Experimental Psychology: General,135,1,2006,Perceptual encoding efficiency in visual search.,"Rauschenberger, Robert; Yantis, Steven",116-116-131,Articles,https://doi.org/10.1037/0096-3445.135.1.116,https://psycnet.apa.orgxge/135/1/116.pdf
Journal of Experimental Psychology: General,135,2,2006,"Instantiated features and the use of ""rules.""","Brooks, Lee R.; Hannah, Samuel D.",133-133-151,Articles,https://doi.org/10.1037/0096-3445.135.2.133,https://psycnet.apa.orgxge/135/2/133.pdf
Journal of Experimental Psychology: General,135,2,2006,Predicting the near and distant future.,"Nussbaum, Shiri; Liberman, Nira; Trope, Yaacov",152-152-161,Articles,https://doi.org/10.1037/0096-3445.135.2.152,https://psycnet.apa.orgxge/135/2/152.pdf
Journal of Experimental Psychology: General,135,2,2006,Insight and strategy in multiple-cue learning.,"Lagnado, David A.; Newell, Ben R.; Kahan, Steven; Shanks, David R.",162-162-183,Articles,https://doi.org/10.1037/0096-3445.135.2.162,https://psycnet.apa.orgxge/135/2/162.pdf
Journal of Experimental Psychology: General,135,2,2006,From recurrent choice to skill learning: A reinforcement-learning model.,"Fu, Wai-Tat; Anderson, John R.",184-184-206,Articles,https://doi.org/10.1037/0096-3445.135.2.184,https://psycnet.apa.orgxge/135/2/184.pdf
Journal of Experimental Psychology: General,135,2,2006,SSL: A Theory of How People Learn to Select Strategies.,"Rieskamp, Jörg; Otto, Philipp E.",207-207-236,Articles,https://doi.org/10.1037/0096-3445.135.2.207,https://psycnet.apa.orgxge/135/2/207.pdf
Journal of Experimental Psychology: General,135,2,2006,Tradeoffs and theory: The double-mediation model.,"Scholten, Marc; Sherman, Steven J.",237-237-261,Articles,https://doi.org/10.1037/0096-3445.135.2.237,https://psycnet.apa.orgxge/135/2/237.pdf
Journal of Experimental Psychology: General,135,2,2006,The influence of improper sets of information on judgment: How irrelevant information can bias judged probability.,"Dougherty, Michael R.; Sprenger, Amber",262-262-281,Articles,https://doi.org/10.1037/0096-3445.135.2.262,https://psycnet.apa.orgxge/135/2/262.pdf
Journal of Experimental Psychology: General,135,2,2006,Dissociating uncertainty responses and reinforcement signals in the comparative study of uncertainty monitoring.,"Smith, J. David; Beran, Michael J.; Redford, Joshua S.; Washburn, David A.",282-282-297,Articles,https://doi.org/10.1037/0096-3445.135.2.282,https://psycnet.apa.orgxge/135/2/282.pdf
Journal of Experimental Psychology: General,135,2,2006,Is the binding of visual features in working memory resource-demanding?,"Allen, Richard J.; Baddeley, Alan D.; Hitch, Graham J.",298-298-313,Articles,https://doi.org/10.1037/0096-3445.135.2.298,https://psycnet.apa.orgxge/135/2/298.pdf
Journal of Experimental Psychology: General,135,2,2006,"How to hit scylla without avoiding charybdis: Comment on Perruchet, Tyler, Galland, and Peereman (2004).","Bonatti, Luca L.; Nespor, Marina; Peña, Marcela; Mehler, Jacques",314-314-321,Comments,https://doi.org/10.1037/0096-3445.135.2.314,https://psycnet.apa.orgxge/135/2/314.pdf
Journal of Experimental Psychology: General,135,2,2006,"Do we need algebraic-like computations? A reply to Bonatti, Peña, Nespor, and Mehler (2006).","Perruchet, Pierre; Peereman, Ronald; Tyler, Michael D.",322-322-326,Comments,https://doi.org/10.1037/0096-3445.135.2.322,https://psycnet.apa.orgxge/135/2/322.pdf
Journal of Experimental Psychology: General,135,3,2006,"Embodied spatial transformations: ""Body analogy"" for the mental rotation of objects.","Amorim, Michel-Ange; Isableu, Brice; Jarraya, Mohamed",327-327-347,Articles,https://doi.org/10.1037/0096-3445.135.3.327,https://psycnet.apa.orgxge/135/3/327.pdf
